node_id	in_gene_set
STAT5B	TRUE
SELPLG	TRUE
VIRMA	FALSE
CDKN1A	FALSE
SMARCA2	FALSE
HAX1	FALSE
IL2	TRUE
SS18L1	FALSE
PTPN11	FALSE
UBC	FALSE
BATF	TRUE
NOTCH1	TRUE
MSN	FALSE
GNAI2	FALSE
NID2	FALSE
CIITA	FALSE
IL21R	TRUE
ICOS	TRUE
CCR7	TRUE
GPR183	TRUE
IFNGR2	TRUE
IRF4	TRUE
HSP90AB1	FALSE
KIF14	FALSE
TFG	FALSE
STAT1	TRUE
ITCH	TRUE
ATF4	FALSE
BCL6	TRUE
STAT3	TRUE
ID3	TRUE
IL6R	TRUE
IL6	TRUE
PDCD1	TRUE
STAT5A	TRUE
IL21	TRUE
PIK3CA	TRUE
IL7R	TRUE
KLF2	TRUE
PRDM1	TRUE
IL2RA	TRUE
CXCR5	TRUE
VCAM1	FALSE
AKT1	TRUE
CMSS1	FALSE
ICOSLG	TRUE
EGFR	FALSE
LOC51064	FALSE
SMAD7	FALSE
INSR	FALSE
S1PR1	TRUE
CD28	TRUE
IL2RB	FALSE
FOXP1	TRUE
CXCR4	TRUE
LMO4	FALSE
LEF1	TRUE
FOXO1	TRUE
NFKB1	TRUE
PPARG	TRUE
TP53	FALSE
IFNGR1	TRUE
SH3GL2	FALSE
MAF	TRUE
IFNG	TRUE
TCF7	TRUE
