,Genes,LogChange,LogChange_Thresh
0,TSPAN6,-17.554026013788892,-2.0
1,TNMD,0.0,0.0
2,DPM1,-0.13116627367147313,-0.13116627367147313
3,SCYL3,2.4857250471592316,2.0
4,C1orf112,-2.487403773874492,-2.0
5,FGR,-4.443592368844845,-2.0
6,CFH,0.0,0.0
7,FUCA2,-0.8737051719632748,-0.8737051719632748
8,GCLC,-0.20017289154047102,-0.20017289154047102
9,NFYA,-0.9307583856471816,-0.9307583856471816
10,STPG1,3.1223297176262843,2.0
11,NIPAL3,-0.341115441385515,-0.341115441385515
12,LAS1L,-0.19508849972623601,-0.19508849972623601
13,ENPP4,0.21648850857325586,0.21648850857325586
14,SEMA3F,0.0,0.0
15,CFTR,0.0,0.0
16,ANKIB1,1.6365355036246814,1.6365355036246814
17,CYP51A1,-0.14590400642224047,-0.14590400642224047
18,KRIT1,-0.5435230977773161,-0.5435230977773161
19,RAD52,1.0837136060046124,1.0837136060046124
20,MYH16,0.0,0.0
21,BAD,0.008354567709933008,0.008354567709933008
22,LAP3,0.23601022972943178,0.23601022972943178
23,CD99,-1.010990858989155,-1.010990858989155
24,HS3ST1,-16.436198296526264,-2.0
25,AOC1,0.0,0.0
26,WNT16,0.0,0.0
27,HECW1,18.80671687106784,2.0
28,MAD1L1,-0.41359855359889364,-0.41359855359889364
29,LASP1,0.8262743146611515,0.8262743146611515
30,SNX11,2.380192962882564,2.0
31,TMEM176A,-22.280516373504938,-2.0
32,M6PR,-0.7476799180086431,-0.7476799180086431
33,KLHL13,0.0,0.0
34,CYP26B1,0.0,0.0
35,ICA1,0.5370935635548272,0.5370935635548272
36,DBNDD1,-4.4043607460608305,-2.0
37,ALS2,1.5099669132918758,1.5099669132918758
38,CASP10,-3.5837849575130525,-2.0
39,CFLAR,0.4627935337022059,0.4627935337022059
40,TFPI,0.418073940460564,0.418073940460564
41,NDUFAF7,-1.3137207299543299,-1.3137207299543299
42,RBM5,-0.26576150746837895,-0.26576150746837895
43,MTMR7,0.0,0.0
44,SLC7A2,0.0,0.0
45,ARF5,-0.10372729943088821,-0.10372729943088821
46,SARM1,5.189661368963493,2.0
47,POLDIP2,-0.44188608378610006,-0.44188608378610006
48,PLXND1,4.437514661477265,2.0
49,AK2,-0.5721754305842929,-0.5721754305842929
50,CD38,-0.48582196659620575,-0.48582196659620575
51,FKBP4,-0.6159018579605092,-0.6159018579605092
52,KDM1A,-1.2328679502565503,-1.2328679502565503
53,RBM6,-1.1738551245942055,-1.1738551245942055
54,CAMKK1,0.7553600882444802,0.7553600882444802
55,RECQL,-0.7090373968436323,-0.7090373968436323
56,VPS50,-0.7088412209429917,-0.7088412209429917
57,HSPB6,0.0,0.0
58,ARHGAP33,-0.893931887661,-0.893931887661
59,NDUFAB1,-0.32115857491357563,-0.32115857491357563
60,PDK4,-18.335790766347703,-2.0
61,SLC22A16,16.733503215074276,2.0
62,ZMYND10,0.0,0.0
63,ABCB5,16.566557625412006,2.0
64,ARX,0.0,0.0
65,SLC25A13,-0.8465046618394937,-0.8465046618394937
66,ST7,-1.7845663068125497,-1.7845663068125497
67,CDC27,0.0037699142549515443,0.0037699142549515443
68,SLC4A1,0.0,0.0
69,CALCR,0.0,0.0
