Prot_1,Prot_2
GBP5,GBP1
ITGA5,GRK6
ITGA5,STAMBP
TXNIP,IL12RB1
TXNIP,PTPN11
PBX3,TMCO2
PBX3,MAB21L2
PBX3,MDK
PBX3,NUDT9
PBX3,GBP7
PBX3,CPLX2
PTPN11,STAT1
PTPN11,BTLA
PTPN11,PDCD1
MYO1D,DAPK1
LRRC25,ANKRD46
LRRC25,CNIH3
PIGK,B3GNT3
SLC39A10,CENPO
SLC39A10,KIF18A
ZFP36L1,MAPKAPK2
ZFP36L1,PAFAH1B2
CUX1,FOXP1
CUEDC1,LDLRAD4
RBL1,FOXO3
RBL1,RBL2
RBL1,E2F3
LIF,NCALD
B3GNT3,SELENON
B3GNT3,SLC30A6
NBL1,NCALD
NBL1,PLA2G2F
ACOX2,DYNLT1
GPT2,LYRM4
TREML2,ALG11
TREML2,EPHX1
TREML2,SQLE
SAMHD1,RSBN1L
SAMHD1,LCOR
SPSB1,NOS2
SPSB1,PAWR
RLBP1,KLHL8
ESPNL,LDLRAP1
CD200,CD200R1
LYRM4,CDNF
LYRM4,FXN
TOMM20,APOA1
PAG1,CCR1
MBD2,ARID4B
MBD2,MTA3
REXO1,PAFAH1B2
IRF8,CIITA
IRF8,CYBB
SUFU,NFATC3
SUFU,LDLRAD4
LCAT,APOA1
PDCD1,PDCD1LG2
PDCD1,CD274
MTA3,ARID4B
BBS7,BBS12
BBS7,MKKS
BBS7,LZTFL1
LACRT,NEUROD1
TEX101,KLHL8
TJP2,IFI30
MYL12B,FOXP1
MYL12B,TSPYL6
WDFY2,GPD2
WDFY2,NFXL1
WDFY2,C2CD5
LCOR,NDE1
LCOR,CDYL
IL17RA,IL17F
IL17RA,IL17A
SPTB,STAT1
UBA52,FAAP20
FANCE,FAAP20
PRKCZ,DENND5A
PRKCZ,PAWR
UBE2F,STAT1
IL2,IL17A
ARID4B,DYNLT1
ARID4B,MXD1
FERMT2,BBS12
FAAP20,REV1
NEUROD1,TCF12
NRP1,ICAM2
NRP1,SEMA3A
CA8,KLHL8
FUT8,CD200R1
DYNLT1,PTH2R
DYNLT1,DYNC1I2
DYNLT1,DYNLRB2
BBS12,MKKS
PDCD1LG2,ERMP1
USP33,LDLRAD4
REV1,POLK
REV1,POLI
FGF6,NCALD
ERMP1,CD200R1
COG3,CD274
CD200R1,NINJ1
LDLRAP1,HOXD8
LDLRAP1,PSD4
LDLRAP1,NLN
CENPN,CENPO
CENPN,CENPK
CENPN,CENPM
ALDH2,APOA1
CCR3,CCL15
MKKS,ICA1
CLDN20,CNIH3
CLDN20,ANKRD46
SMPD1,ANXA4
SMPD1,ALG11
NINJ1,CEACAM3
RRAS2,PAWR
NUDT8,CDRT15
CCL15,CCR1
SHISA3,ANKRD46
POU2F1,NR3C1
ZBTB20,NR3C1
CIITA,STAT1
CIITA,IRF4
STAMBP,APOBEC3A
TCF12,ASCL3
CCL3,CCR1
SLX4IP,ERCC4
SLX4IP,IFI30
CLEC4D,ANKRD46
IRF4,STAT4
IRF4,ETV7
ICAM2,TNFSF9
IFNLR1,ANKRD46
MTFR1,CENPO
ARMC9,KLHL8
RIC8B,PPARD
FXN,SAMD3
PRMT3,PARP8
PRMT3,PPARD
BPIFB3,STAT1
BPIFB3,EVX2
CDRT15,IFI30
PPARD,NCOA1
CEACAM3,CNIH3
IL17F,IL17RC
IL17F,IL17A
TTI1,CD274
EXOC2,EXOC7
EXOC7,CD274
CENPM,CENPO
CENPM,CENPK
CENPK,CENPO
CENPT,CENPO
PARP9,STAT1
KLHL8,PNMT
NCOA1,NR3C1
NCOA1,NR3C2
DAPK1,IFI30
NR3C2,NR3C1
THADA,CD274
GBP2,GBP1
GBP2,GBP3
GBP1,GBP3
GBP1,STAT1
ETV7,ETV6
