"Pathway","Mean_Tfh","mean_non_tfh","Cliffs_Delta","P_Value"
"KEGG-ABC-TRANSPORTERS",5907.03926950915,6121.50679653424,-0.257816146239548,1.31629678088683e-69
"KEGG-ACUTE-MYELOID-LEUKEMIA",7242.89672006285,7203.41929048117,0.0244798066741909,0.0940333709414647
"KEGG-ADHERENS-JUNCTION",7725.89556658347,7265.50773121255,0.353147458782803,6.39141500293173e-129
"KEGG-ADIPOCYTOKINE-SIGNALING-PATHWAY",7281.87919881751,7246.63291329193,0.0421679467330355,0.00392134154591188
"KEGG-ALANINE-ASPARTATE-AND-GLUTAMATE-METABOLISM",6528.67289768868,6552.21807564638,-0.0216799508820919,0.138080861059715
"KEGG-ALDOSTERONE-REGULATED-SODIUM-REABSORPTION",6724.2406605432,6969.34517717,-0.22585638723261,7.62611536199475e-54
"KEGG-ALLOGRAFT-REJECTION",9867.81135761848,9850.86731752812,0.0149599502835826,0.30616322490664
"KEGG-ALPHA-LINOLENIC-ACID-METABOLISM",7008.52568857284,7158.58122503209,-0.170503626888925,1.96984270153681e-31
"KEGG-ALZHEIMERS-DISEASE",8327.44634635863,7935.09911394681,0.265757525536208,7.61554652881254e-74
"KEGG-AMINOACYL-TRNA-BIOSYNTHESIS",2516.42732040129,2348.06290959576,0.0595387673691442,4.6482970442847e-05
"KEGG-AMINO-SUGAR-AND-NUCLEOTIDE-SUGAR-METABOLISM",7505.47483876691,7511.46509505534,-0.0140934803129894,0.335027591779549
"KEGG-AMYOTROPHIC-LATERAL-SCLEROSIS-ALS",6364.92897937997,6170.15619988613,0.182674578485442,7.8968681682405e-36
"KEGG-ANTIGEN-PROCESSING-AND-PRESENTATION",8122.813922734,8098.54103760385,0.0309964418347249,0.0339846414732137
"KEGG-APOPTOSIS",8382.26866770539,8464.53524199395,-0.105856637219734,4.45606397212178e-13
"KEGG-ARACHIDONIC-ACID-METABOLISM",4994.64967463393,4968.7547815428,0.0320818786295177,0.0281993932096753
"KEGG-ARGININE-AND-PROLINE-METABOLISM",6450.23935344636,6513.93263283617,-0.091123865016259,4.57106248475528e-10
"KEGG-ARRHYTHMOGENIC-RIGHT-VENTRICULAR-CARDIOMYOPATHY-ARVC",6546.22708509705,6543.75094290936,0.00662616419072211,0.650370196220055
"KEGG-ASCORBATE-AND-ALDARATE-METABOLISM",7852.48205594211,7979.21245372409,-0.140692388608269,6.34357716108234e-22
"KEGG-ASTHMA",8519.38609643698,8536.24986697244,-0.0269839203993553,0.0649235146961961
"KEGG-AUTOIMMUNE-THYROID-DISEASE",9937.49454607504,9755.80473043573,0.211378939469769,2.1996786243644e-47
"KEGG-AXON-GUIDANCE",8278.587453111,8196.34236451475,0.167019089208407,3.14945721457191e-30
"KEGG-BASAL-CELL-CARCINOMA",7403.2574741743,7457.25348632854,-0.0871444623130497,2.50759908297885e-09
"KEGG-BASAL-TRANSCRIPTION-FACTORS",8136.30742805574,8235.83029592317,-0.0925632525587528,2.42595524098722e-10
"KEGG-BASE-EXCISION-REPAIR",3886.55577587152,3621.68819272639,0.186574377624437,2.66262088125273e-37
"KEGG-BETA-ALANINE-METABOLISM",7036.54804017057,6823.4882894903,0.216189594979346,1.74909677329548e-49
"KEGG-BIOSYNTHESIS-OF-UNSATURATED-FATTY-ACIDS",7691.57097023662,7813.24402635995,-0.120545205495575,1.64224603730204e-16
"KEGG-BLADDER-CANCER",5834.73085126712,5868.12643271979,-0.0257796484843459,0.0778316485720183
"KEGG-BUTANOATE-METABOLISM",7544.85223069512,7448.24196861975,0.104599904503094,8.36917981616147e-13
"KEGG-B-CELL-RECEPTOR-SIGNALING-PATHWAY",8025.50897610533,7769.43054645393,0.184896088153124,1.15509185589335e-36
"KEGG-CALCIUM-SIGNALING-PATHWAY",6172.34968601574,6248.78723170024,-0.188880554464143,3.46968141651517e-38
"KEGG-CARDIAC-MUSCLE-CONTRACTION",7864.8336612885,7625.40614873252,0.218864867772093,1.13493370171231e-50
"KEGG-CELL-ADHESION-MOLECULES-CAMS",7452.33364467336,7391.26243983821,0.12225880336729,6.11977171208939e-17
"KEGG-CELL-CYCLE",6140.9337950743,6043.63508581418,0.097943358665514,2.08933948560012e-11
"KEGG-CHEMOKINE-SIGNALING-PATHWAY",7711.89683158944,7721.65106217747,-0.0213599856102302,0.143991001566136
"KEGG-CHRONIC-MYELOID-LEUKEMIA",7568.12574800833,7453.94463267971,0.0731015724600681,5.72170899437067e-07
"KEGG-CIRCADIAN-RHYTHM-MAMMAL",7027.13134182204,7476.94228493939,-0.206379926873292,2.98206826185657e-45
"KEGG-CITRATE-CYCLE-TCA-CYCLE",7555.4707000093,7456.01179022599,0.0703467873392835,1.49468546711148e-06
"KEGG-COLORECTAL-CANCER",7912.49430083672,7925.37869209578,-0.0097594882088418,0.504403339573042
"KEGG-COMPLEMENT-AND-COAGULATION-CASCADES",7479.42345874405,7695.84327979177,-0.284110868559735,3.97319243067264e-84
"KEGG-CYSTEINE-AND-METHIONINE-METABOLISM",6583.66303825679,6811.8495162337,-0.220716962160115,1.6754935893812e-51
"KEGG-CYTOKINE-CYTOKINE-RECEPTOR-INTERACTION",7018.85645995952,7215.46580379082,-0.374388426800463,1.19946309432886e-144
"KEGG-CYTOSOLIC-DNA-SENSING-PATHWAY",6031.40566194071,6167.8847698669,-0.114243978948347,5.51137852562487e-15
"KEGG-DILATED-CARDIOMYOPATHY",6416.71271363332,6578.07317787344,-0.302282012938293,5.57295373169811e-95
"KEGG-DNA-REPLICATION",909.847288099296,405.760254955175,0.246449304686816,9.17504993219276e-64
"KEGG-DORSO-VENTRAL-AXIS-FORMATION",6011.24514071726,5880.10960954407,0.0733027026117131,5.32714384732321e-07
"KEGG-DRUG-METABOLISM-CYTOCHROME-P450",7115.31745914061,7357.2559124663,-0.299635570777399,2.33542181755231e-93
"KEGG-DRUG-METABOLISM-OTHER-ENZYMES",6482.67558956047,6575.43524365051,-0.111432581779889,2.49105636334701e-14
"KEGG-ECM-RECEPTOR-INTERACTION",6468.85816182739,6679.86085939251,-0.327959887467475,1.85395162619366e-111
"KEGG-ENDOCYTOSIS",7666.50330074555,7509.34736749412,0.206508569882509,2.63198150785616e-45
"KEGG-ENDOMETRIAL-CANCER",8035.55789635806,8019.18435859481,0.00997626536479941,0.494982430327057
"KEGG-EPITHELIAL-CELL-SIGNALING-IN-HELICOBACTER-PYLORI-INFECTION",7684.91392549928,7404.60266296459,0.277220894963941,3.46187835617702e-80
"KEGG-ERBB-SIGNALING-PATHWAY",7310.37687699576,7313.59490344508,-0.00691510916248884,0.636204091117597
"KEGG-ETHER-LIPID-METABOLISM",7140.41420506672,7273.33581016963,-0.162729346649983,8.84257986648444e-29
"KEGG-FATTY-ACID-METABOLISM",7703.07857171347,7593.60307427466,0.116346471023459,1.74176457496482e-15
"KEGG-FC-EPSILON-RI-SIGNALING-PATHWAY",7912.73312189895,7808.00313669523,0.100844212905275,5.27146663438018e-12
"KEGG-FC-GAMMA-R-MEDIATED-PHAGOCYTOSIS",7720.91031608981,7558.51772099235,0.162095985110986,1.43640348494088e-28
"KEGG-FOCAL-ADHESION",7179.09284425539,7195.71813669989,-0.0260062791473925,0.075254422407256
"KEGG-FOLATE-BIOSYNTHESIS",9286.40924372939,9564.71890446576,-0.179603249449424,1.08452348849986e-34
"KEGG-FRUCTOSE-AND-MANNOSE-METABOLISM",5970.44655853179,5774.38162951477,0.159360222733054,1.14308434703024e-27
"KEGG-GALACTOSE-METABOLISM",7107.58434703373,7110.54400544081,-0.000308971312563326,0.9831407428968
"KEGG-GAP-JUNCTION",6203.62855656473,6342.355650746,-0.157929320154997,3.33595994882283e-27
"KEGG-GLIOMA",7850.61301399044,7821.90152983274,0.0186256373930376,0.202645416885809
"KEGG-GLUTATHIONE-METABOLISM",6913.51156254901,6899.79149205863,0.0120423085872995,0.410093113499392
"KEGG-GLYCEROLIPID-METABOLISM",7362.01537768339,7213.43484054228,0.183884552661498,2.77961899123372e-36
"KEGG-GLYCEROPHOSPHOLIPID-METABOLISM",6464.00581039841,6396.08460035893,0.0875038416132673,2.15669139220254e-09
"KEGG-GLYCINE-SERINE-AND-THREONINE-METABOLISM",5620.94584111599,5631.69024087421,-0.0112729139087681,0.440647248895444
"KEGG-GLYCOLYSIS-GLUCONEOGENESIS",6647.66239109672,6719.45768774761,-0.0870745754016593,2.5820226117366e-09
"KEGG-GLYCOSAMINOGLYCAN-BIOSYNTHESIS-CHONDROITIN-SULFATE",7545.71774378365,7463.19765793366,0.0619985403124082,2.22627497474646e-05
"KEGG-GLYCOSAMINOGLYCAN-BIOSYNTHESIS-HEPARAN-SULFATE",7472.97937653265,7442.46478876286,0.0359698170655353,0.0138763353340255
"KEGG-GLYCOSAMINOGLYCAN-BIOSYNTHESIS-KERATAN-SULFATE",8577.76139932051,8470.97670185531,0.0868699326572094,2.81253634017537e-09
"KEGG-GLYCOSAMINOGLYCAN-DEGRADATION",6661.61554327202,6902.53372784942,-0.225885400336817,7.39488589875019e-54
"KEGG-GLYCOSPHINGOLIPID-BIOSYNTHESIS-GANGLIO-SERIES",8204.79616705314,7941.47454039238,0.179955010528883,8.05181526726221e-35
"KEGG-GLYCOSPHINGOLIPID-BIOSYNTHESIS-GLOBO-SERIES",3823.61468700751,3508.75998489486,0.201768211847118,2.49272299658852e-43
"KEGG-GLYCOSPHINGOLIPID-BIOSYNTHESIS-LACTO-AND-NEOLACTO-SERIES",6248.68384865343,6085.94342063457,0.212133006470607,1.03836649291723e-47
"KEGG-GLYCOSYLPHOSPHATIDYLINOSITOL-GPI-ANCHOR-BIOSYNTHESIS",6747.62426897805,6659.25552927309,0.0714875132571867,1.00849157262649e-06
"KEGG-GLYOXYLATE-AND-DICARBOXYLATE-METABOLISM",7099.9375279289,7004.86647137393,0.0608339105161965,3.1653344464937e-05
"KEGG-GNRH-SIGNALING-PATHWAY",7197.87668102233,7223.66247029986,-0.0299784285745501,0.0403041164081213
"KEGG-GRAFT-VERSUS-HOST-DISEASE",8516.23095082823,8511.03182086612,-0.00186098991525482,0.898707221510072
"KEGG-HEDGEHOG-SIGNALING-PATHWAY",7511.72610054055,7518.03408043006,-0.00339375768465209,0.816428582944019
"KEGG-HEMATOPOIETIC-CELL-LINEAGE",7832.60973336569,8112.41511033772,-0.392448810460447,9.70892240310182e-159
"KEGG-HISTIDINE-METABOLISM",5422.82296928082,5422.11583350753,0.00781538213656787,0.592930408582006
"KEGG-HOMOLOGOUS-RECOMBINATION",2291.21564719461,1680.16052955469,0.291278565077556,2.50055297813373e-88
"KEGG-HUNTINGTONS-DISEASE",8277.28805665014,7899.78275167353,0.244798386068528,6.15913262251446e-63
"KEGG-HYPERTROPHIC-CARDIOMYOPATHY-HCM",6493.85378459126,6653.27235990682,-0.282949067085003,1.86330203090703e-83
"KEGG-INOSITOL-PHOSPHATE-METABOLISM",6334.80064312756,6206.99883194283,0.110238893261383,4.67476357999301e-14
"KEGG-INSULIN-SIGNALING-PATHWAY",6864.81302477029,6867.39303512828,-0.00802043544381313,0.583265821581
"KEGG-INTESTINAL-IMMUNE-NETWORK-FOR-IGA-PRODUCTION",6919.29159580578,7110.20924654939,-0.25568605522097,1.71504957038841e-68
"KEGG-JAK-STAT-SIGNALING-PATHWAY",7346.19142764643,7377.60125077137,-0.0438580969073263,0.00269950599737228
"KEGG-LEISHMANIA-INFECTION",8091.41164736622,8193.24457963,-0.118654883149495,4.80314531691125e-16
"KEGG-LEUKOCYTE-TRANSENDOTHELIAL-MIGRATION",7650.37988442481,7604.75089113851,0.0598575465707081,4.23177394906833e-05
"KEGG-LIMONENE-AND-PINENE-DEGRADATION",8744.8555520983,8643.58431749955,0.0538086336702822,0.000232611262240822
"KEGG-LINOLEIC-ACID-METABOLISM",6591.7697180273,6762.98354654162,-0.205487956391297,7.07365612216177e-45
"KEGG-LONG-TERM-DEPRESSION",6747.03470874515,6776.06814485926,-0.0340781261768041,0.0197506674584878
"KEGG-LONG-TERM-POTENTIATION",6811.50542872236,6798.39201086136,0.00212968045578309,0.884178811358841
"KEGG-LYSINE-DEGRADATION",7991.40353417482,7817.5890271219,0.190354109954829,9.314745664117e-39
"KEGG-LYSOSOME",6391.99486548518,6236.5833584431,0.19980736393641,1.5882704837095e-42
"KEGG-MAPK-SIGNALING-PATHWAY",6972.01552358539,6969.31385872282,-0.000894068914060032,0.951236493390317
"KEGG-MATURITY-ONSET-DIABETES-OF-THE-YOUNG",5415.39181659896,5552.13857268836,-0.174201565986861,9.77478862085181e-33
"KEGG-MELANOGENESIS",7393.3620305421,7486.56457461861,-0.139982525535067,1.01606348901696e-21
"KEGG-MELANOMA",6738.50562500699,6723.33535546163,0.0271949952942661,0.0628540361776076
"KEGG-METABOLISM-OF-XENOBIOTICS-BY-CYTOCHROME-P450",6561.15412476757,6772.27906798926,-0.273269593003171,5.69559222433505e-78
"KEGG-MISMATCH-REPAIR",1982.21863300438,1426.33294439994,0.229826985644763,1.08755732874485e-55
"KEGG-MTOR-SIGNALING-PATHWAY",5919.35245415609,5812.32301035044,0.0585090758783455,6.27543227603898e-05
"KEGG-NATURAL-KILLER-CELL-MEDIATED-CYTOTOXICITY",7443.81275438584,7228.51725564921,0.222196812946997,3.59178847188663e-52
"KEGG-NEUROACTIVE-LIGAND-RECEPTOR-INTERACTION",5954.05469579179,6064.13439972353,-0.175578867311077,3.14236673330718e-33
"KEGG-NEUROTROPHIN-SIGNALING-PATHWAY",7495.3544668809,7392.02879673789,0.0750593183407661,2.83200117301143e-07
"KEGG-NICOTINATE-AND-NICOTINAMIDE-METABOLISM",8953.68978258274,8877.81828831999,0.0743016931290355,3.72551713294225e-07
"KEGG-NITROGEN-METABOLISM",7235.31590101685,7393.19946605922,-0.179483730057882,1.19985937973629e-34
