"Pathway","Mean_Tfh","mean_non_tfh","Cliffs_Delta","P_Value"
"KEGG-ABC-TRANSPORTERS",5633.19550761641,5842.44484107778,-0.268685295794103,1.91998774988107e-71
"KEGG-ACUTE-MYELOID-LEUKEMIA",6824.04810644083,6835.58104425972,-0.0108540325127659,0.470293138529467
"KEGG-ADHERENS-JUNCTION",7293.70417194348,6898.08177791626,0.348520935649561,6.6860750903776e-119
"KEGG-ADIPOCYTOKINE-SIGNALING-PATHWAY",6853.43453231106,6832.30243946453,0.0300872580135759,0.0453505532563335
"KEGG-ALANINE-ASPARTATE-AND-GLUTAMATE-METABOLISM",6159.5803475262,6203.26742692812,-0.044157069786571,0.00331076799893655
"KEGG-ALDOSTERONE-REGULATED-SODIUM-REABSORPTION",6515.75206132425,6789.61872123924,-0.280120047465614,1.72015787037152e-77
"KEGG-ALLOGRAFT-REJECTION",9205.83731664884,9171.57780386656,0.0367314787855195,0.0145512471272423
"KEGG-ALPHA-LINOLENIC-ACID-METABOLISM",6915.16715952852,7062.46000821155,-0.167773786562384,6.38196114752492e-29
"KEGG-ALZHEIMERS-DISEASE",7852.41252254546,7507.07950141324,0.27267858454665,1.58399674871917e-73
"KEGG-AMINOACYL-TRNA-BIOSYNTHESIS",2441.89929781387,2373.82587484422,0.0209706642987481,0.163029008293737
"KEGG-AMINO-SUGAR-AND-NUCLEOTIDE-SUGAR-METABOLISM",7023.04734565087,7036.14754550435,-0.0249674384386752,0.0967495847734838
"KEGG-AMYOTROPHIC-LATERAL-SCLEROSIS-ALS",6150.05559370662,5972.64735155973,0.18385118146589,2.15731690063917e-34
"KEGG-ANTIGEN-PROCESSING-AND-PRESENTATION",7656.37596934425,7614.49465729256,0.0503289937579393,0.000814380691053206
"KEGG-APOPTOSIS",7935.94953023113,8028.59122281362,-0.131905933148125,1.71932868700413e-18
"KEGG-ARACHIDONIC-ACID-METABOLISM",4867.77177502356,4844.51092912142,0.0309032140097559,0.0398147770038225
"KEGG-ARGININE-AND-PROLINE-METABOLISM",6112.58268527461,6174.341200512,-0.0919581388889336,9.53451582959067e-10
"KEGG-ARRHYTHMOGENIC-RIGHT-VENTRICULAR-CARDIOMYOPATHY-ARVC",6216.80695266925,6217.2328432924,0.00487696850657586,0.74562737953959
"KEGG-ASCORBATE-AND-ALDARATE-METABOLISM",7355.2226829552,7482.39663095148,-0.141601905488091,4.54120250671058e-21
"KEGG-ASTHMA",7977.98719584572,7983.85825886205,-0.0127055239100255,0.398020050343126
"KEGG-AUTOIMMUNE-THYROID-DISEASE",9375.17406563132,9190.26606356784,0.230773932948654,3.48860835186766e-53
"KEGG-AXON-GUIDANCE",7852.95051840132,7796.33410071765,0.125688002063349,6.23417910383153e-17
"KEGG-BASAL-CELL-CARCINOMA",6972.49796515767,7037.63820601196,-0.104908551478367,2.98412338401242e-12
"KEGG-BASAL-TRANSCRIPTION-FACTORS",7626.12659077287,7736.7499208149,-0.113182753874276,5.11827508894622e-14
"KEGG-BASE-EXCISION-REPAIR",3706.82689938654,3460.63745159629,0.195910192827716,8.06167962321874e-39
"KEGG-BETA-ALANINE-METABOLISM",6653.88556199366,6471.60574029861,0.205919528303758,1.04822968422878e-42
"KEGG-BIOSYNTHESIS-OF-UNSATURATED-FATTY-ACIDS",7216.69364330986,7324.8889041275,-0.118006851735374,4.16823178151615e-15
"KEGG-BLADDER-CANCER",5568.05617795202,5623.83877675969,-0.0506561912008446,0.00075270466401731
"KEGG-BUTANOATE-METABOLISM",7082.14149346734,7004.3769550193,0.0927058349138225,6.97077663723105e-10
"KEGG-B-CELL-RECEPTOR-SIGNALING-PATHWAY",7638.17778085774,7433.80532030393,0.167239932458555,9.50960796346321e-29
"KEGG-CALCIUM-SIGNALING-PATHWAY",5906.71729547843,5995.23812933104,-0.232503972001079,5.87934402281149e-54
"KEGG-CARDIAC-MUSCLE-CONTRACTION",7409.48207530221,7218.90448861168,0.209395746433242,4.22730170242122e-44
"KEGG-CELL-ADHESION-MOLECULES-CAMS",6997.55605578199,6935.82857843984,0.13270049422793,1.0734957816773e-18
"KEGG-CELL-CYCLE",5796.40606667309,5722.63025322117,0.0853434098563538,1.37073716132746e-08
"KEGG-CHEMOKINE-SIGNALING-PATHWAY",7271.54035944722,7295.39514325719,-0.0492231071531409,0.00105925169900816
"KEGG-CHRONIC-MYELOID-LEUKEMIA",7142.78769390748,7085.50483195345,0.0428042032699368,0.00440898094095848
"KEGG-CIRCADIAN-RHYTHM-MAMMAL",6807.18123812462,7257.14464819808,-0.213635425262838,7.83705150837516e-46
"KEGG-CITRATE-CYCLE-TCA-CYCLE",7100.87293610634,7022.54228120589,0.0620081515167602,3.71132869237804e-05
"KEGG-COLORECTAL-CANCER",7437.42268009656,7482.31155343278,-0.0379334548392995,0.011625450016981
"KEGG-COMPLEMENT-AND-COAGULATION-CASCADES",7000.20527631198,7209.25353625133,-0.27774960869824,3.23485824495038e-76
"KEGG-CYSTEINE-AND-METHIONINE-METABOLISM",6235.82584167434,6447.37399403811,-0.228973971663264,2.1935666128324e-52
"KEGG-CYTOKINE-CYTOKINE-RECEPTOR-INTERACTION",6623.41947724437,6802.7143096468,-0.34411476254592,5.79499121291577e-116
"KEGG-CYTOSOLIC-DNA-SENSING-PATHWAY",5633.71178571696,5732.29878777722,-0.0888131398031775,3.46686187753633e-09
"KEGG-DILATED-CARDIOMYOPATHY",6096.74035521056,6246.26547376218,-0.2959973275122,2.64688430446233e-86
