"Pathway","Mean_Tfh","mean_non_tfh","Cliffs_Delta","P_Value"
"KEGG-ABC-TRANSPORTERS",4279.48491207681,4519.99474670672,-0.306238859180036,2.21490597347641e-38
"KEGG-ACUTE-MYELOID-LEUKEMIA",5540.20311223908,5598.53664126404,-0.0380477769472077,0.107512514600754
"KEGG-ADHERENS-JUNCTION",5953.90089994385,5645.89051692717,0.301939061711358,2.33115540442616e-37
"KEGG-ADIPOCYTOKINE-SIGNALING-PATHWAY",5800.691491072,5813.3528766695,-0.0193292827068918,0.413561169752989
"KEGG-ALANINE-ASPARTATE-AND-GLUTAMATE-METABOLISM",4877.21863700211,5195.53006471855,-0.32641660117941,2.27789119747648e-43
"KEGG-ALDOSTERONE-REGULATED-SODIUM-REABSORPTION",5424.95438678164,5484.325275488,-0.0684683648630518,0.00377554296729395
"KEGG-ALLOGRAFT-REJECTION",7720.95043483516,7908.59587002839,-0.227416479788396,6.57194762476679e-22
"KEGG-ALPHA-LINOLENIC-ACID-METABOLISM",5207.32692639457,5228.36005272208,-0.0393824391926859,0.0957265446618735
"KEGG-ALZHEIMERS-DISEASE",6535.52977971568,6620.86471027886,-0.0644139050211156,0.00643368608062421
"KEGG-AMINOACYL-TRNA-BIOSYNTHESIS",1668.11924025984,1715.16583784925,-0.0127524453900165,0.589591160395972
"KEGG-AMINO-SUGAR-AND-NUCLEOTIDE-SUGAR-METABOLISM",5715.18803982118,5807.78389998649,-0.12593614832704,9.9661284118122e-08
"KEGG-AMYOTROPHIC-LATERAL-SCLEROSIS-ALS",4931.40500038924,5006.7933363194,-0.0621253649716648,0.00858864223093093
"KEGG-ANTIGEN-PROCESSING-AND-PRESENTATION",6722.37861533634,6966.29644699762,-0.28703991208735,6.29729155881654e-34
"KEGG-APOPTOSIS",6479.95697360032,6652.85276732043,-0.233312249631035,5.64012306634518e-23
"KEGG-ARACHIDONIC-ACID-METABOLISM",3589.88739250997,3507.76286483164,0.101680307183153,1.69824562517387e-05
"KEGG-ARGININE-AND-PROLINE-METABOLISM",5074.8904602574,5104.99323262743,-0.0415055041241,0.0791320892598445
"KEGG-ARRHYTHMOGENIC-RIGHT-VENTRICULAR-CARDIOMYOPATHY-ARVC",5008.52217291095,4981.93711289746,0.0515375130175889,0.0292485978165944
"KEGG-ASCORBATE-AND-ALDARATE-METABOLISM",5056.98545686016,5011.19763724195,0.00890626697078311,0.706376458435331
"KEGG-ASTHMA",6541.82390566561,6587.25360048693,-0.0518703799538714,0.0282209932879914
"KEGG-AUTOIMMUNE-THYROID-DISEASE",7924.35961934658,7912.81804403717,0.0138692427117475,0.557424356834156
"KEGG-AXON-GUIDANCE",6495.56253948018,6454.478695057,0.0944447638944793,6.46430088976284e-05
"KEGG-BASAL-CELL-CARCINOMA",5606.49635996847,5460.88240024379,0.215407714079441,8.07442275277076e-20
"KEGG-BASAL-TRANSCRIPTION-FACTORS",6306.91242924219,6386.59672135071,-0.0821663823561357,0.000509358499561526
"KEGG-BASE-EXCISION-REPAIR",2763.55015924966,2637.28015178238,0.104543218395211,9.76223368073641e-06
"KEGG-BETA-ALANINE-METABOLISM",5347.98319022593,5185.56150441439,0.189576984263891,1.06190846712673e-15
"KEGG-BIOSYNTHESIS-OF-UNSATURATED-FATTY-ACIDS",6096.31633313768,6108.36590264737,-0.0117851506845814,0.618124651122226
"KEGG-BLADDER-CANCER",4312.7018228365,4686.03714373153,-0.317579335416148,3.80879219856408e-41
"KEGG-BUTANOATE-METABOLISM",6098.18764254126,5957.84196749228,0.165992627093196,2.19004703694842e-12
"KEGG-B-CELL-RECEPTOR-SIGNALING-PATHWAY",6302.48266090711,6292.9872113406,0.00921549460448891,0.696678504182517
"KEGG-CALCIUM-SIGNALING-PATHWAY",4753.35528231261,4862.97449641333,-0.295583283818578,7.11881114430272e-36
"KEGG-CARDIAC-MUSCLE-CONTRACTION",6208.05536237022,6187.96768750985,0.0331435800126502,0.160910160807796
"KEGG-CELL-ADHESION-MOLECULES-CAMS",5749.08086721184,5727.06264708169,0.0543077837195484,0.0216012088211237
"KEGG-CELL-CYCLE",4636.20348804702,4672.28840486642,-0.0441249944096244,0.0619638600549998
"KEGG-CHEMOKINE-SIGNALING-PATHWAY",5949.29299431072,6116.38700329712,-0.282027102140954,8.22563353101297e-33
"KEGG-CHRONIC-MYELOID-LEUKEMIA",5810.65364406153,5952.20368662116,-0.103983541934206,1.08902058159123e-05
"KEGG-CIRCADIAN-RHYTHM-MAMMAL",5480.53860458985,6142.8972719662,-0.341297222701397,3.00230090728325e-47
"KEGG-CITRATE-CYCLE-TCA-CYCLE",5762.58747935068,5806.60789369163,-0.0455804087682646,0.0538400291120151
"KEGG-COLORECTAL-CANCER",6105.06597884934,6234.26268534076,-0.120373884320753,3.54222415389494e-07
"KEGG-COMPLEMENT-AND-COAGULATION-CASCADES",5183.63292267355,5291.57062933112,-0.154326950721638,6.65062240821186e-11
"KEGG-CYSTEINE-AND-METHIONINE-METABOLISM",5059.27303555437,5411.63744164774,-0.352499057622397,2.77722331526796e-50
"KEGG-CYTOKINE-CYTOKINE-RECEPTOR-INTERACTION",5264.52531615868,5541.86344328275,-0.525660143496956,1.523314073921e-109
"KEGG-CYTOSOLIC-DNA-SENSING-PATHWAY",4148.43968879173,4737.08641289574,-0.488897833489864,5.09481511219734e-95
"KEGG-DILATED-CARDIOMYOPATHY",4869.44704294906,5071.4471439951,-0.409091547990979,4.28168632562552e-67
"KEGG-DNA-REPLICATION",342.384269984195,39.8363404212155,0.17951303036692,3.10761711726873e-14
"KEGG-DORSO-VENTRAL-AXIS-FORMATION",4517.19290548627,4578.58271944883,-0.0379826091401044,0.108116182850965
"KEGG-DRUG-METABOLISM-CYTOCHROME-P450",6050.14138524301,6274.9300159154,-0.268706035688958,6.11823580976669e-30
"KEGG-DRUG-METABOLISM-OTHER-ENZYMES",5284.74494802933,5424.35520978297,-0.165866124879408,2.2755432745247e-12
"KEGG-ECM-RECEPTOR-INTERACTION",4594.61861752763,4805.63625148454,-0.346748956995636,1.03053475072073e-48
"KEGG-ENDOCYTOSIS",5883.41203126992,5915.15691586177,-0.0400897015697775,0.0899137650847344
"KEGG-ENDOMETRIAL-CANCER",6191.06370584289,6238.24490334098,-0.0443128310300986,0.0608615214427566
"KEGG-EPITHELIAL-CELL-SIGNALING-IN-HELICOBACTER-PYLORI-INFECTION",5846.07791810656,5882.426869424,-0.0429928634862221,0.0689629041475971
"KEGG-ERBB-SIGNALING-PATHWAY",5599.98658954845,5632.40348974659,-0.0348826660022106,0.140055582894397
"KEGG-ETHER-LIPID-METABOLISM",5344.60583720976,5392.57338969687,-0.0585730805844658,0.0132217789844208
"KEGG-FATTY-ACID-METABOLISM",5724.84061010116,5641.06614758198,0.0946096001124464,6.27666536877894e-05
"KEGG-FC-EPSILON-RI-SIGNALING-PATHWAY",6073.30052363647,6080.30604018917,-0.0104549607395907,0.658315478235801
"KEGG-FC-GAMMA-R-MEDIATED-PHAGOCYTOSIS",5939.69791762417,5898.29645300358,0.0611325142634441,0.0097094510558914
"KEGG-FOCAL-ADHESION",5404.02385045195,5491.42538810387,-0.179222969735304,3.41618020919844e-14
"KEGG-FOLATE-BIOSYNTHESIS",6979.29342908126,7179.08367996002,-0.139107073262671,3.99262447279735e-09
"KEGG-FRUCTOSE-AND-MANNOSE-METABOLISM",4446.29982322071,4453.66035699555,-0.00387812342271545,0.869710788033999
"KEGG-GALACTOSE-METABOLISM",6106.26531912877,6137.71663163011,-0.0264249068803149,0.263651207510196
"KEGG-GAP-JUNCTION",4768.75229955417,5033.44936088803,-0.342403158721944,1.52141466686309e-47
"KEGG-GLIOMA",6014.18781562773,6000.31839128007,0.0183530434004817,0.437544827711914
"KEGG-GLUTATHIONE-METABOLISM",5726.70292110852,5820.97010940211,-0.109102409292163,3.92646290003527e-06
"KEGG-GLYCEROLIPID-METABOLISM",5669.35576603352,5448.39970068005,0.308215615995502,7.42362581972256e-39
"KEGG-GLYCEROPHOSPHOLIPID-METABOLISM",4858.06833404786,4757.33028427775,0.150918418850108,1.72359212013454e-10
"KEGG-GLYCINE-SERINE-AND-THREONINE-METABOLISM",4114.87326721325,4052.7702175231,0.0898747116963436,0.000143611095318749
"KEGG-GLYCOLYSIS-GLUCONEOGENESIS",5335.38050112831,5490.60909047668,-0.197973408979102,5.53788172595265e-17
"KEGG-GLYCOSAMINOGLYCAN-BIOSYNTHESIS-CHONDROITIN-SULFATE",5781.27776806973,5900.18113985224,-0.0933164663714948,7.89852553548124e-05
"KEGG-GLYCOSAMINOGLYCAN-BIOSYNTHESIS-HEPARAN-SULFATE",5920.91184064402,5837.82383701994,0.0907519214919594,0.000123550199021724
"KEGG-GLYCOSAMINOGLYCAN-BIOSYNTHESIS-KERATAN-SULFATE",7113.59215577375,6932.34920217985,0.155031657498451,5.44821583241475e-11
"KEGG-GLYCOSAMINOGLYCAN-DEGRADATION",4988.95705769516,5259.91373163523,-0.277363131632581,8.63182449351502e-32
"KEGG-GLYCOSPHINGOLIPID-BIOSYNTHESIS-GANGLIO-SERIES",6622.57662496732,6314.21684347646,0.233509669752554,5.18939948748605e-23
"KEGG-GLYCOSPHINGOLIPID-BIOSYNTHESIS-GLOBO-SERIES",2687.71389395954,2352.9837130889,0.259873881126253,4.12089691708915e-28
"KEGG-GLYCOSPHINGOLIPID-BIOSYNTHESIS-LACTO-AND-NEOLACTO-SERIES",4719.136270104,4471.71980084665,0.328318606686728,7.43251103682393e-44
"KEGG-GLYCOSYLPHOSPHATIDYLINOSITOL-GPI-ANCHOR-BIOSYNTHESIS",5085.81557413675,4991.13663165394,0.0942262600706624,6.72122056620609e-05
