Prot,Label
SP1,1
RELA,0
STAT3,0
TXNIP,1
IL12RB1,0
PTPN11,1
STAT1,0
IL2RB,0
SOCS1,0
IL2RG,0
STAT5A,0
IL2,0
IL4,2
PPP3CA,0
PPP3R1,0
PPP3CB,2
IL18RAP,2
IL18,2
IL18R1,2
STAT6,0
POLK,1
NCOA1,1
STAT2,1
IRF4,1
SPSB1,1
NOS2,0
IL12B,0
IL12RB2,2
JAK2,0
NR4A1,1
IRF1,1
IRF9,1
MTOR,0
FOSB,1
FOS,0
IL12A,0
IRF7,1
MAPK14,0
MAP2K3,0
MAP2K6,2
ATF2,0
ZNF557,1
IL1R1,2
IL1B,0
ATF4,1
SPTB,1
PRKCZ,1
UBE2F,1
IL2RA,0
IL17A,1
HLA-A,0
B2M,2
CD3E,2
CD8A,2
HLA-DRA,2
TYK2,0
REL,1
CA8,1
PAFAH1B2,1
RUNX1,1
JUN,1
RELB,0
LCK,0
MAPKAPK2,1
CCL4,2
CCR5,2
NFKB1,0
NFKB2,0
NR3C1,1
AHR,1
EGR1,1
GTF2B,1
PPARD,1
HIF1A,1
NFATC1,1
NFATC2,1
NR2F6,1
JUND,1
CENPO,1
JUNB,1
CD4,2
CD247,0
CIITA,1
CCL3,0
CCR1,1
CD3D,2
CD3G,2
STAT4,0
DNMT1,1
BPIFB3,1
ATF3,1
PARP9,1
GBP1,1
ZNF281,1
