"Pathway","Mean_Tfh","mean_non_tfh","Cliffs_Delta","P_Value"
"PID-A6B1-A6B4-INTEGRIN-PATHWAY",200.772043644392,281.080139505114,-0.430642183523776,1.88040761657403e-22
"PID-AJDISS-2PATHWAY",-18.161043037125,-41.4585134517206,0.0693744490461221,0.116366791799484
"PID-ALK1-PATHWAY",170.612908679055,194.058478216448,-0.109192821382832,0.013452568627181
"PID-ALPHA-SYNUCLEIN-PATHWAY",381.613800626294,396.911783263999,-0.0651331437220365,0.140427926279381
"PID-AMB2-NEUTROPHILS-PATHWAY",2.28992902231471,-43.4211372391755,0.291785173727193,3.98021847516156e-11
"PID-ANGIOPOIETIN-RECEPTOR-PATHWAY",234.289681579871,190.382790727446,0.193869234735459,1.14221142870458e-05
"PID-ANTHRAX-PATHWAY",188.08840266883,209.988111583191,-0.128270379056268,0.00369125726086434
"PID-AP1-PATHWAY",160.425236834434,68.8275320045184,0.431690035427374,1.48826876799036e-22
"PID-ARF6-PATHWAY",194.629928635164,166.756420022999,0.137900637027427,0.00179991876144989
"PID-ARF6-TRAFFICKING-PATHWAY",206.681912764457,208.527619184323,-0.0604261264407964,0.171421995547339
"PID-AR-NONGENOMIC-PATHWAY",-438.592281295316,-386.698408163634,-0.324676080701229,1.99155731975713e-13
"PID-AR-PATHWAY",102.178889248497,92.7579321781154,-0.0816077042063769,0.064728846156001
"PID-AR-TF-PATHWAY",-168.980102844927,-294.553989704742,0.127513597125892,0.00389829774009126
"PID-ATF2-PATHWAY",-16.8484779105043,30.681041537017,-0.229296608618998,2.09967713328513e-07
"PID-AVB3-INTEGRIN-PATHWAY",299.012393443441,290.170294648634,0.0592285814081134,0.180069642610183
"PID-AVB3-OPN-PATHWAY",293.349498547728,239.62436407055,0.0785972090547711,0.0752430643029743
"PID-BCR-5PATHWAY",-87.874435638432,-94.9270602676341,-0.0545631455516192,0.216856040500102
"PID-BETA-CATENIN-NUC-PATHWAY",265.788503674301,315.020734998427,-0.246594481313308,2.37970734241061e-08
"PID-BMP-PATHWAY",228.840540412307,222.63240939471,-0.0323919298770853,0.463526312643825
"PID-CASPASE-PATHWAY",36.1556967445046,28.1003607860344,-0.0265206327029589,0.54840848883294
"PID-CD40-PATHWAY",264.268386631078,121.087568787977,0.359712589192156,3.87347403591964e-16
"PID-CD8-TCR-DOWNSTREAM-PATHWAY",403.125212362494,337.426427830124,0.304941536516807,5.10498256000108e-12
"PID-CD8-TCR-PATHWAY",676.233028621911,605.300868902731,0.289223757962843,5.8771020111922e-11
"PID-CDC42-PATHWAY",-39.3185839155375,-102.518262221185,0.0619147414467009,0.161110267865967
"PID-CDC42-REG-PATHWAY",-486.355047932262,-520.307977200469,-0.107255126989671,0.0151950352283111
"PID-CERAMIDE-PATHWAY",-18.4316264042795,-101.197959369778,0.174084792841342,8.13165172799962e-05
"PID-CMYB-PATHWAY",228.151063419027,86.5057376028497,0.473471051012092,8.42063286959069e-27
"PID-CXCR3-PATHWAY",-63.9482222688211,-158.940331902086,0.228464980124079,2.32266887886348e-07
"PID-CXCR4-PATHWAY",275.062011154508,252.437682363657,0.157676762636595,0.000358258126919949
