Genes,Naive,Early Extra-GC,Late Extra-GC,GC
FOS,4.662581093201431,3.8416005411316028,4.981034824319975,9.210340371976182
KLF6,9.210340371976182,7.060476365999855,9.210340371976182,7.060476365999855
ELF1,7.060476365999855,9.210340371976182,6.3673291854399094,6.3673291854399094
SP2,5.451038453565708,4.757891273005763,7.060476365999855,4.981034824319975
SP1,6.3673291854399094,5.961864077331706,5.674182004879935,5.268716896771761
NFYA,3.9249821500706545,6.3673291854399094,4.352426164897598,3.728271855824597
JUN,5.961864077331706,5.268716896771761,4.116037386833365,5.961864077331706
ZFX,3.802379827978319,3.0174250981652513,5.961864077331706,4.287887643760023
SP3,4.981034824319975,3.882422535651856,4.757891273005763,5.674182004879935
NRF1,3.728271855824597,5.674182004879935,3.299276250306241,3.534115841383642
VEZF1,5.674182004879935,4.863251788663583,4.863251788663583,3.969433912641486
SP4,5.114566216944492,4.495527008538264,5.451038453565708,4.495527008538264
KLF12,5.268716896771761,5.114566216944492,4.495527008538264,4.863251788663583
CTCF,4.116037386833365,4.981034824319975,4.170104608103639,5.114566216944492
EGR1,4.863251788663583,4.227263021943591,4.015953928276382,3.5947404632000772
ELK4,4.757891273005763,3.7646394999954738,3.7646394999954738,4.352426164897598
ETS1,4.352426164897598,4.662581093201431,4.064744092445811,4.757891273005763
JUNB,3.882422535651856,3.2103287642897445,3.802379827978319,4.662581093201431
EGR2,4.064744092445811,3.6264891615146557,4.662581093201431,4.421419036384546
KLF10,4.421419036384546,4.575569716211806,3.3969147198701544,3.8416005411316028
NFYC,4.015953928276382,4.064744092445811,4.421419036384546,4.015953928276382
NFYB,3.0174250981652513,4.352426164897598,3.969433912641486,3.1892753550919104
ATF3,3.4495584533555768,4.287887643760023,2.94960250182649,3.422890206273417
KLF2,4.287887643760023,3.0351246752646515,2.298302431202045,1.5882056923283263
KLF9,4.170104608103639,2.7838102469837462,3.9249821500706545,2.606129069746294
SREBF2,3.0351246752646515,4.116037386833365,3.5947404632000772,3.2318349695107065
STAT3,3.322806747716434,2.6537571187355478,2.770016924851411,4.116037386833365
ZBTB17,2.966131803777702,3.1286507332754767,2.6537571187355478,3.9249821500706545
YY1,2.7429882524634914,3.9249821500706545,3.882422535651856,3.168656067889176
TCF12,3.148453360571655,3.728271855824597,3.2103287642897445,3.882422535651856
TCF7,3.0531431807673313,2.7166709441461183,3.728271855824597,3.346904299295493
ZBTB33,3.6931805360133287,3.6931805360133287,2.549616859482951,3.0531431807673313
KLF3,3.6592789843376488,2.3691284837706577,2.5718399962676615,2.617825109509485
BCL6,2.5945682473452174,1.8675195151095907,3.322806747716434,3.6592789843376488
FLI1,3.6264891615146557,3.4495584533555768,3.346904299295493,2.7564112727956314
E2F4,1.644375963795381,3.346904299295493,3.6264891615146557,3.476957427543693
MZF1,3.09018445244768,3.5947404632000772,2.6416357582032037,2.797796488958487
GABPA,3.5639688045333218,2.18527904279865,2.4453558491585423,3.505128304510388
PBX3,3.2538138762294833,1.8619793347339757,3.5639688045333218,3.2538138762294833
KLF13,2.4755088873292292,2.378345138875581,3.534115841383642,2.256455321266545
YBX1,3.2103287642897445,3.534115841383642,3.1092326474183736,3.0351246752646515
DNMT1,3.534115841383642,3.505128304510388,3.09018445244768,2.9333419809547108
ATF6B,3.505128304510388,2.9173416396082685,3.371596911885866,3.299276250306241
ELF4,2.5386877889507615,3.0714923194355266,3.505128304510388,2.69102851353278
CREM,3.476957427543693,3.476957427543693,2.855783746608835,2.9173416396082685
ELK3,3.1092326474183736,3.2318349695107065,3.476957427543693,3.0714923194355266
GTF2I,2.560666695669537,1.9305776510767276,3.4495584533555768,2.18527904279865
IRF3,2.6296595671564886,2.416085466858428,2.425747377770166,3.4495584533555768
CREB1,2.9333419809547108,3.422890206273417,2.840968660823695,2.982938922094082
IKZF1,3.422890206273417,2.6296595671564886,2.6784497313259195,2.8263698614025414
ELK1,3.346904299295493,2.6784497313259195,3.422890206273417,3.148453360571655
SATB1,3.299276250306241,2.50659947439926,2.8263698614025414,3.3969147198701544
ATF4,3.371596911885866,2.90159328264013,2.3242779176053063,2.8708216239733764
