"Pathway","Mean_Tfh","mean_non_tfh","Cliffs_Delta","P_Value"
"HALLMARK-ADIPOGENESIS",7129.92720082012,7005.25247920574,0.175212006644366,4.25507912008598e-33
"HALLMARK-ALLOGRAFT-REJECTION",8310.52428137291,8306.75354733006,0.0221648711615173,0.129482479378461
"HALLMARK-ANDROGEN-RESPONSE",8414.78439431317,8144.47115410711,0.274091585337598,1.98199125699782e-78
"HALLMARK-ANGIOGENESIS",6681.07497923622,6888.71816035803,-0.243757016347105,2.03367477259272e-62
"HALLMARK-APICAL-JUNCTION",6302.13743216077,6282.2298301139,0.0470564723194686,0.00128722866608189
"HALLMARK-APICAL-SURFACE",6252.51033473368,6222.22344787351,0.0368231490266765,0.0117748997431613
"HALLMARK-APOPTOSIS",7517.00136865918,7632.2001360032,-0.140124306553736,9.24995790955401e-22
"HALLMARK-BILE-ACID-METABOLISM",6770.51012748001,6816.77131695959,-0.0896252651950545,8.75178734023789e-10
"HALLMARK-CHOLESTEROL-HOMEOSTASIS",6785.38838739548,6657.58014829819,0.160856176705132,3.6929764368394e-28
"HALLMARK-COAGULATION",6298.10120272093,6481.8960134899,-0.32566885583311,6.20330733900887e-110
"HALLMARK-COMPLEMENT",7619.64004750899,7699.72065380744,-0.154774829343872,3.42037168194362e-26
"HALLMARK-DNA-REPAIR",5902.24959163825,5729.36787728914,0.141827959682186,2.97131497296288e-22
"HALLMARK-E2F-TARGETS",3614.47642273655,3319.65258404845,0.221380066692733,8.41384643443189e-52
"HALLMARK-EPITHELIAL-MESENCHYMAL-TRANSITION",6754.46027795316,7089.26357248516,-0.562545250292537,0
"HALLMARK-ESTROGEN-RESPONSE-EARLY",6175.4627622946,6132.56960325335,0.0904248590480901,6.1964813336241e-10
"HALLMARK-ESTROGEN-RESPONSE-LATE",5687.59616138289,5566.9588117447,0.25365367814769,1.94754163593891e-67
"HALLMARK-FATTY-ACID-METABOLISM",7537.14589904953,7493.47498418864,0.0706059893174298,1.36755953465973e-06
"HALLMARK-G2M-CHECKPOINT",4834.11138903965,4610.66329801924,0.153880076158486,6.56365210633109e-26
"HALLMARK-GLYCOLYSIS",7104.88336906458,7092.29380281201,0.0161889015844029,0.268133917525456
"HALLMARK-HEDGEHOG-SIGNALING",6117.76264012718,5836.88865711434,0.271484967767855,5.57362090641974e-77
"HALLMARK-HEME-METABOLISM",7383.57447624764,7188.14253501042,0.285437442569678,6.75251849525451e-85
"HALLMARK-HYPOXIA",7438.35301198618,7596.7554345816,-0.26212897155069,6.82039792135713e-72
"HALLMARK-IL2-STAT5-SIGNALING",8133.34119723896,8270.64805624854,-0.249779516374362,1.89573525637532e-65
"HALLMARK-IL6-JAK-STAT3-SIGNALING",7684.96337199033,7805.19793055582,-0.138869261706366,2.11703856153459e-21
"HALLMARK-INFLAMMATORY-RESPONSE",7146.35946285133,7493.56137211004,-0.64714244416882,0
"HALLMARK-INTERFERON-ALPHA-RESPONSE",8067.20166597764,8221.2308637217,-0.178667759311119,2.38786712584849e-34
"HALLMARK-INTERFERON-GAMMA-RESPONSE",7652.75569842736,7815.9360330488,-0.200723466387156,6.70113631153734e-43
"HALLMARK-KRAS-SIGNALING-DN",6048.86111633818,6146.30989998203,-0.189639456982348,1.76483088339916e-38
"HALLMARK-KRAS-SIGNALING-UP",7508.16429117046,7622.50151481599,-0.292325956386644,5.96242067458099e-89
"HALLMARK-MITOTIC-SPINDLE",6018.58945111976,5749.79299937151,0.228140849862249,6.67114950912384e-55
"HALLMARK-MTORC1-SIGNALING",7409.72779315054,7329.98374165468,0.0752057524044496,2.68500306739793e-07
"HALLMARK-MYC-TARGETS-V1",8833.7728987734,8789.67460380147,0.0421379300308848,0.00394698792866276
"HALLMARK-MYC-TARGETS-V2",5955.77618289824,6156.5680325088,-0.220666052373489,1.76633497604093e-51
"HALLMARK-MYOGENESIS",5429.0668849326,5509.1956303895,-0.175854218092508,2.50188101484426e-33
"HALLMARK-NOTCH-SIGNALING",8142.3817126944,8208.49475697884,-0.061873683604526,2.31254748385068e-05
"HALLMARK-OXIDATIVE-PHOSPHORYLATION",8404.74497335207,8069.29002928214,0.207547020046276,9.57758431201675e-46
"HALLMARK-P53-PATHWAY",7276.84159467523,7203.77193473342,0.115825923017012,2.32099392186354e-15
"HALLMARK-PANCREAS-BETA-CELLS",8033.39988396312,7920.91910133636,0.134652964270225,3.24018108207706e-20
"HALLMARK-PEROXISOME",7550.29772584038,7489.40231741539,0.0953476894369811,6.93355042416149e-11
"HALLMARK-PI3K-AKT-MTOR-SIGNALING",7928.45243006422,7667.039583338,0.195786403154692,6.69620357726206e-41
"HALLMARK-PROTEIN-SECRETION",8375.59562317937,8052.89957086999,0.215765301139371,2.69075111715352e-49
"HALLMARK-REACTIVE-OXYGEN-SPECIES-PATHWAY",7216.29989883402,7221.12158128807,-0.000466444953633549,0.974549226917098
"HALLMARK-SPERMATOGENESIS",5224.81794839848,5271.90031320491,-0.0973283355980433,2.78391454129679e-11
"HALLMARK-TGF-BETA-SIGNALING",8146.125445705,8233.26386618796,-0.0646304759211991,9.82766838575059e-06
"HALLMARK-TNFA-SIGNALING-VIA-NFKB",7984.61496895623,8327.83012981025,-0.361648024606762,4.18523020301967e-135
"HALLMARK-UNFOLDED-PROTEIN-RESPONSE",7906.91836626318,7890.99093784574,0.00989488269513856,0.498508175953036
"HALLMARK-UV-RESPONSE-DN",8783.81606547455,8704.49530097085,0.11550905977516,2.76251837029821e-15
"HALLMARK-UV-RESPONSE-UP",7421.93706680958,7421.31822644357,0.00921380463570102,0.528530407690888
"HALLMARK-WNT-BETA-CATENIN-SIGNALING",6940.79134478923,6973.59750237874,-0.0374091589899407,0.0105002585334945
"HALLMARK-XENOBIOTIC-METABOLISM",6019.58851239125,5958.40200336671,0.13485158542701,2.85466989327504e-20
