"Pathway","Mean_Tfh","mean_non_tfh","Cliffs_Delta","P_Value"
"HALLMARK-ADIPOGENESIS",6724.73259937865,6609.10744565334,0.191552064448566,3.45600138296877e-37
"HALLMARK-ALLOGRAFT-REJECTION",7794.45978533731,7809.56708291993,-0.00492136697965445,0.743392799374222
"HALLMARK-ANDROGEN-RESPONSE",7982.27211970384,7756.58966565827,0.260985485238312,1.63878452579501e-67
"HALLMARK-ANGIOGENESIS",6224.18629860264,6416.47061006033,-0.233937592262226,1.33095665623912e-54
"HALLMARK-APICAL-JUNCTION",6011.27269336001,5991.98985354291,0.0488137618107714,0.00116600675058321
"HALLMARK-APICAL-SURFACE",5947.03476944814,5927.37584784107,0.0295531894243695,0.0493145135701575
"HALLMARK-APOPTOSIS",7065.58863531337,7169.9255504591,-0.152174908535392,4.38569632296746e-24
"HALLMARK-BILE-ACID-METABOLISM",6417.63827661282,6468.83837102891,-0.103873445048042,4.85970944345792e-12
"HALLMARK-CHOLESTEROL-HOMEOSTASIS",6426.21868896791,6306.19379186043,0.170799317293044,6.50213516987044e-30
"HALLMARK-COAGULATION",5962.9236855358,6134.16711142171,-0.305713622341655,6.18432567982546e-92
"HALLMARK-COMPLEMENT",7169.6217930005,7245.49651704266,-0.171513446356403,3.77039711968637e-30
"HALLMARK-DNA-REPAIR",5583.61374468485,5425.49242824158,0.149997667471523,1.90687010210702e-23
"HALLMARK-E2F-TARGETS",3478.86623949124,3232.37572650332,0.213604271261801,8.07243392710194e-46
"HALLMARK-EPITHELIAL-MESENCHYMAL-TRANSITION",6380.45503879749,6683.03235480996,-0.523383142200052,1.43102923163542e-265
"HALLMARK-ESTROGEN-RESPONSE-EARLY",5947.92911018244,5919.60397251218,0.0676525487029265,6.78844663733226e-06
"HALLMARK-ESTROGEN-RESPONSE-LATE",5454.12105081686,5339.63491235419,0.265564211827903,7.77123580432223e-70
"HALLMARK-FATTY-ACID-METABOLISM",7072.6481333811,7032.21419225012,0.0743674424066546,7.54093802207624e-07
"HALLMARK-G2M-CHECKPOINT",4588.61198780915,4421.57563649744,0.132342089162644,1.32806578955223e-18
"HALLMARK-GLYCOLYSIS",6691.66921574936,6681.18909834915,0.0110718424133037,0.461432063056009
"HALLMARK-HEDGEHOG-SIGNALING",5819.99356543805,5582.40045305506,0.256591323315794,2.55336286478886e-65
"HALLMARK-HEME-METABOLISM",6977.72822374978,6820.57181124531,0.270124707160433,3.43392269058396e-72
"HALLMARK-HYPOXIA",7034.07100601581,7173.19069953041,-0.275797416416389,3.55810520541013e-75
"HALLMARK-IL2-STAT5-SIGNALING",7616.3191027741,7744.6458154007,-0.269993763837658,4.01749617704118e-72
"HALLMARK-IL6-JAK-STAT3-SIGNALING",7231.36089209532,7345.34794360776,-0.150095151075456,1.78622299122201e-23
"HALLMARK-INFLAMMATORY-RESPONSE",6733.68718733188,7049.83089078219,-0.63825797121499,0
"HALLMARK-INTERFERON-ALPHA-RESPONSE",7563.7530269628,7685.5778876539,-0.170492495960972,8.21184284932516e-30
"HALLMARK-INTERFERON-GAMMA-RESPONSE",7208.91122257467,7344.15648668031,-0.203968515691482,6.20771862495022e-42
"HALLMARK-KRAS-SIGNALING-DN",5839.97503384194,5939.15465426149,-0.191837651728296,2.70851059521461e-37
"HALLMARK-KRAS-SIGNALING-UP",7068.38990068363,7179.25266934499,-0.298516458267312,9.5511570094771e-88
"HALLMARK-MITOTIC-SPINDLE",5696.90581447978,5485.39515687891,0.204952038388593,2.53763869718367e-42
"HALLMARK-MTORC1-SIGNALING",6997.61226520902,6915.8670990598,0.0878143886442862,5.1772284987444e-09
"HALLMARK-MYC-TARGETS-V1",8298.58872155232,8301.51294400962,0.0236826174079549,0.11517468010558
"HALLMARK-MYC-TARGETS-V2",5737.41749486795,5924.12345059787,-0.227033200727749,1.56736117864935e-51
"HALLMARK-MYOGENESIS",5233.93681961838,5309.56936052388,-0.175709316547708,1.46617541627572e-31
"HALLMARK-NOTCH-SIGNALING",7650.79734934865,7746.99446415759,-0.101375119374518,1.54693329508702e-11
"HALLMARK-OXIDATIVE-PHOSPHORYLATION",7862.54030097349,7530.3935655285,0.234744057280465,5.74785352901005e-55
"HALLMARK-P53-PATHWAY",6855.50497061505,6800.54283719613,0.10636994759586,1.48716324144302e-12
"HALLMARK-PANCREAS-BETA-CELLS",7544.02664200276,7455.45643256387,0.115864303681266,1.28565968934951e-14
"HALLMARK-PEROXISOME",7096.7991661643,7049.46391274182,0.0842201499360029,2.11543245187873e-08
"HALLMARK-PI3K-AKT-MTOR-SIGNALING",7443.02432876081,7219.95111284859,0.192521431110782,1.50895914232911e-37
"HALLMARK-PROTEIN-SECRETION",7848.64806970469,7595.29673227006,0.195404007337545,1.25273157575846e-38
"HALLMARK-REACTIVE-OXYGEN-SPECIES-PATHWAY",6806.76915460281,6803.00522091664,0.00486581526696191,0.746189060660362
"HALLMARK-SPERMATOGENESIS",4980.53723024594,5039.39730474394,-0.131791505199394,1.83958337565661e-18
"HALLMARK-TGF-BETA-SIGNALING",7656.79962941552,7748.79431123456,-0.0819559350516829,4.98986322695959e-08
"HALLMARK-TNFA-SIGNALING-VIA-NFKB",7503.95013047665,7802.45139175837,-0.373552880565426,2.67894327226408e-136
"HALLMARK-UNFOLDED-PROTEIN-RESPONSE",7403.21558758141,7401.25767848171,-0.000983737182487919,0.947828276569006
"HALLMARK-UV-RESPONSE-DN",8233.83577665339,8202.813498143,0.056206429306424,0.000184882500620688
"HALLMARK-UV-RESPONSE-UP",6981.96131237766,6973.77905468931,0.014693106279113,0.328383152096309
"HALLMARK-WNT-BETA-CATENIN-SIGNALING",6568.12146404791,6615.21564613561,-0.0570649070286322,0.000147090763853049
"HALLMARK-XENOBIOTIC-METABOLISM",5727.23929539924,5673.19559892021,0.132985759779595,9.05871750720199e-19
