"Pathway","Mean_Tfh","mean_non_tfh","Cliffs_Delta","P_Value"
"HALLMARK-ADIPOGENESIS",5985.9398276476,6186.64175225233,-0.273228755722926,2.09003837770928e-50
"HALLMARK-ALLOGRAFT-REJECTION",7189.50761548801,7735.69960857599,-0.623819319840604,1.10315161470258e-254
"HALLMARK-ANDROGEN-RESPONSE",7425.63588360841,7337.83339554342,0.0909136169289073,6.76803301869113e-07
"HALLMARK-ANGIOGENESIS",5505.01970541199,5514.27757007097,-0.0158225579362219,0.387258253334111
"HALLMARK-APICAL-JUNCTION",5389.02337358376,5524.82508681712,-0.310923394942119,9.70550529194451e-65
"HALLMARK-APICAL-SURFACE",5653.54087232893,5673.65324346733,-0.0131328575098527,0.472989640714193
"HALLMARK-APOPTOSIS",6444.91844948751,6866.17473584664,-0.500593949580501,9.51259233993789e-165
"HALLMARK-BILE-ACID-METABOLISM",5861.86755836617,6001.14983441073,-0.269009373749121,6.4616005431176e-49
"HALLMARK-CHOLESTEROL-HOMEOSTASIS",5735.75869361621,6031.11086720428,-0.332215964647802,1.19990692531202e-73
"HALLMARK-COAGULATION",5094.33696467636,5243.26986776457,-0.264251802758953,2.90425101601374e-47
"HALLMARK-COMPLEMENT",6496.94605635811,6898.44617652335,-0.710229773353221,0
"HALLMARK-DNA-REPAIR",4953.69145403764,5231.30516082554,-0.256674340382398,1.08389432057195e-44
"HALLMARK-E2F-TARGETS",2902.44700673501,3074.65679834759,-0.145267720408566,2.05383779576302e-15
"HALLMARK-EPITHELIAL-MESENCHYMAL-TRANSITION",5674.62942348132,6071.09022459612,-0.656663785704186,5.63166813865538e-282
"HALLMARK-ESTROGEN-RESPONSE-EARLY",5334.02170519705,5226.83683037802,0.227874009005331,1.36350553751273e-35
"HALLMARK-ESTROGEN-RESPONSE-LATE",4848.33920957486,4847.16494149067,0.00361497728752736,0.843417049241827
"HALLMARK-FATTY-ACID-METABOLISM",6362.91336321767,6627.53400381261,-0.419414533991042,3.02945174791821e-116
"HALLMARK-G2M-CHECKPOINT",4028.77925063986,4283.03918017899,-0.200434832827837,6.45508640115576e-28
"HALLMARK-GLYCOLYSIS",6118.97490993698,6264.07382752671,-0.291071140522596,5.81424304008005e-57
"HALLMARK-HEDGEHOG-SIGNALING",5114.36493067504,4952.12150635534,0.166327290614103,1.00103553221536e-19
"HALLMARK-HEME-METABOLISM",6330.73173442031,6251.51129016887,0.128677956853272,2.04305573176468e-12
"HALLMARK-HYPOXIA",6446.26612296998,6799.78625731769,-0.583135516093893,8.14220592733043e-223
"HALLMARK-IL2-STAT5-SIGNALING",6971.69994717946,7324.53041650232,-0.632073376919508,2.06753661484516e-261
"HALLMARK-IL6-JAK-STAT3-SIGNALING",6518.35243926231,6883.72329939474,-0.424185547260065,7.35800277589901e-119
"HALLMARK-INFLAMMATORY-RESPONSE",6054.42386406861,6556.74520736889,-0.829802826662312,0
"HALLMARK-INTERFERON-ALPHA-RESPONSE",6904.43271342552,7548.18240172154,-0.668488510336615,3.82565151851097e-292
"HALLMARK-INTERFERON-GAMMA-RESPONSE",6521.99119111028,7303.14336680197,-0.78969305800891,0
"HALLMARK-KRAS-SIGNALING-DN",5118.55206110145,5073.705819811,0.100104650630194,4.4967348246601e-08
"HALLMARK-KRAS-SIGNALING-UP",6358.5441709912,6542.07070430737,-0.457567704277831,5.60200439446405e-138
"HALLMARK-MITOTIC-SPINDLE",5085.84037321582,5115.46092587862,-0.0482632575719859,0.00835683870108768
"HALLMARK-MTORC1-SIGNALING",6334.38932639767,6837.76538364977,-0.470770013561766,6.15275703440298e-146
"HALLMARK-MYC-TARGETS-V1",7678.2564887581,8210.05662232396,-0.307001734551834,3.66237236807633e-63
"HALLMARK-MYC-TARGETS-V2",4998.93259233471,5368.26567344368,-0.389207244093861,2.24782555428892e-100
"HALLMARK-MYOGENESIS",4514.04555770257,4618.92042591985,-0.236095705042547,4.42630189305878e-38
"HALLMARK-NOTCH-SIGNALING",6985.38164308563,6783.21547722695,0.1945550804844,2.13057812317011e-26
"HALLMARK-OXIDATIVE-PHOSPHORYLATION",7246.25233385515,7596.04575684754,-0.216115500042816,3.48697797797647e-32
"HALLMARK-P53-PATHWAY",6314.60236180782,6576.82879439679,-0.331683749977596,2.03678195068351e-73
"HALLMARK-PANCREAS-BETA-CELLS",6977.06141305142,6842.36882307489,0.164803334481735,2.14564162224461e-19
"HALLMARK-PEROXISOME",6523.98328970022,6685.55759836265,-0.244662419570365,9.12595616594595e-41
"HALLMARK-PI3K-AKT-MTOR-SIGNALING",6771.6523015633,7061.15124393456,-0.241951062139174,6.61540473957701e-40
"HALLMARK-PROTEIN-SECRETION",7216.60437562259,7356.57646265248,-0.106669959195216,5.57939722967152e-09
"HALLMARK-REACTIVE-OXYGEN-SPECIES-PATHWAY",6141.69028638124,6594.06945658447,-0.28362063300189,3.56418899705085e-54
"HALLMARK-SPERMATOGENESIS",4731.68872901707,4724.43121877623,0.0168596048567451,0.356910001843009
"HALLMARK-TGF-BETA-SIGNALING",7001.65846189805,7565.66056897436,-0.444741778801825,1.83903112394207e-130
"HALLMARK-TNFA-SIGNALING-VIA-NFKB",6805.79293325333,7478.00660716076,-0.647033637560316,7.89976977745334e-274
"HALLMARK-UNFOLDED-PROTEIN-RESPONSE",6786.92740510141,7277.40006361179,-0.38393289216106,1.00398699673909e-97
"HALLMARK-UV-RESPONSE-DN",7565.18051620454,7380.20688943545,0.29501669829751,1.81675181851883e-58
"HALLMARK-UV-RESPONSE-UP",6326.55620094248,6667.64132193961,-0.401166391514835,1.62122585861538e-106
"HALLMARK-WNT-BETA-CATENIN-SIGNALING",5875.27275320456,5723.77113306871,0.165534694023862,1.48945489553401e-19
"HALLMARK-XENOBIOTIC-METABOLISM",5072.88112205964,5185.84911663976,-0.238962893336015,5.72375674500003e-39
