"Pathway","Mean_Tfh","mean_non_tfh","Cliffs_Delta","P_Value","label"
"HALLMARK-ADIPOGENESIS",5405.13875653778,5458.19592412856,-0.093914476836678,7.10459762719549e-05,NA
"HALLMARK-ALLOGRAFT-REJECTION",6458.58035823634,6785.51128502057,-0.492326171263553,2.49427171569532e-96,"HALLMARK-ALLOGRAFT-REJECTION"
"HALLMARK-ANDROGEN-RESPONSE",6766.11724633444,6600.29528846227,0.199693327966573,2.97794830515496e-17,NA
"HALLMARK-ANGIOGENESIS",4727.6607947373,4793.26947184552,-0.0892211169251017,0.000160511429264178,NA
"HALLMARK-APICAL-JUNCTION",4870.1019358687,4923.20234437348,-0.139940837853551,3.22394890084882e-09,NA
"HALLMARK-APICAL-SURFACE",5094.33245960195,5008.5683510155,0.102230400143114,1.52852731627863e-05,NA
"HALLMARK-APOPTOSIS",5854.12317240765,6078.22091649285,-0.331402577322881,1.19269876737616e-44,"HALLMARK-APOPTOSIS"
"HALLMARK-BILE-ACID-METABOLISM",5248.97793139068,5365.68149034919,-0.235797570901935,1.96669854407484e-23,NA
"HALLMARK-CHOLESTEROL-HOMEOSTASIS",5148.9017707932,5283.94468094294,-0.177132488707441,6.72888464275432e-14,NA
"HALLMARK-COAGULATION",4591.81219376664,4783.12457942501,-0.355590056159316,3.88482078968367e-51,"HALLMARK-COAGULATION"
"HALLMARK-COMPLEMENT",5821.35891113469,6120.3852199051,-0.640769491243875,8.39224957730495e-162,"HALLMARK-COMPLEMENT"
"HALLMARK-DNA-REPAIR",4439.27721110277,4511.2889597227,-0.0790242718136456,0.000829173139972616,NA
"HALLMARK-E2F-TARGETS",2546.3947413731,2408.54743198553,0.130560507031095,3.33334457300899e-08,NA
"HALLMARK-EPITHELIAL-MESENCHYMAL-TRANSITION",5063.0540346731,5447.99523540309,-0.6413981689124,4.07598330789113e-162,"HALLMARK-EPITHELIAL-MESENCHYMAL-TRANSITION"
"HALLMARK-ESTROGEN-RESPONSE-EARLY",4811.60921394908,4735.02799100972,0.186308371507613,3.24215268652609e-15,NA
"HALLMARK-ESTROGEN-RESPONSE-LATE",4348.21334828513,4279.73170832961,0.154860432279787,5.71916383141999e-11,NA
"HALLMARK-FATTY-ACID-METABOLISM",5690.41711616927,5811.98416681287,-0.242173793596943,1.25348022135249e-24,NA
"HALLMARK-G2M-CHECKPOINT",3576.55908864737,3549.61602800006,0.0229889023057904,0.330825471414082,NA
"HALLMARK-GLYCOLYSIS",5460.72536028345,5519.02561877766,-0.144112855308301,1.08582948018623e-09,NA
"HALLMARK-HEDGEHOG-SIGNALING",4576.99273839857,4401.27323008301,0.19707128208077,7.65165552654154e-17,NA
"HALLMARK-HEME-METABOLISM",5677.77184512626,5585.67962162935,0.173204531079294,2.35548490492825e-13,NA
"HALLMARK-HYPOXIA",5820.90612647017,6089.72394718472,-0.528462359202397,1.07814508114613e-110,"HALLMARK-HYPOXIA"
"HALLMARK-IL2-STAT5-SIGNALING",6229.69397281929,6530.91776640416,-0.614487697979159,5.77255134945057e-149,"HALLMARK-IL2-STAT5-SIGNALING"
"HALLMARK-IL6-JAK-STAT3-SIGNALING",5841.88942372686,6130.73293295946,-0.367239760029134,2.01080544321431e-54,"HALLMARK-IL6-JAK-STAT3-SIGNALING"
"HALLMARK-INFLAMMATORY-RESPONSE",5447.74177542141,5912.84398727474,-0.835773292699289,8.41100923376039e-274,"HALLMARK-INFLAMMATORY-RESPONSE"
"HALLMARK-INTERFERON-ALPHA-RESPONSE",6185.87972276371,6567.07399673452,-0.503204083849245,1.51171603385641e-100,"HALLMARK-INTERFERON-ALPHA-RESPONSE"
"HALLMARK-INTERFERON-GAMMA-RESPONSE",5872.82218711259,6362.22468297147,-0.664356404014848,8.83634538300958e-174,"HALLMARK-INTERFERON-GAMMA-RESPONSE"
"HALLMARK-KRAS-SIGNALING-DN",4683.86313663668,4679.3404445888,0.00777924724793796,0.742116604736948,NA
"HALLMARK-KRAS-SIGNALING-UP",5714.90552457638,5891.00129188845,-0.466265437422933,1.3419942402048e-86,"HALLMARK-KRAS-SIGNALING-UP"
"HALLMARK-MITOTIC-SPINDLE",4547.36769489975,4429.81486963364,0.126959666238604,7.84588327585468e-08,NA
"HALLMARK-MTORC1-SIGNALING",5693.69219865436,5874.4389186422,-0.227881599039094,5.42671127383019e-22,NA
"HALLMARK-MYC-TARGETS-V1",6940.88138857624,7212.46124404413,-0.158862502316013,1.81481111983487e-11,NA
"HALLMARK-MYC-TARGETS-V2",4548.21310965757,4790.79342377598,-0.295344335192533,8.08392041937889e-36,NA
"HALLMARK-MYOGENESIS",4076.89471909751,4144.90123715542,-0.159171729949719,1.6588459753307e-11,NA
"HALLMARK-NOTCH-SIGNALING",6270.77600881051,6248.84042060362,0.0230579035133115,0.329376052762399,NA
"HALLMARK-OXIDATIVE-PHOSPHORYLATION",6484.68562620139,6525.3117382763,-0.0288399491435545,0.22247841785114,NA
"HALLMARK-P53-PATHWAY",5656.33618605634,5729.92452878153,-0.109598195746203,3.54855132493028e-06,NA
"HALLMARK-PANCREAS-BETA-CELLS",6260.7063486191,6212.86230951227,0.0672570103310141,0.00443991795116254,NA
"HALLMARK-PEROXISOME",5892.40840257537,5969.01843820346,-0.134683968080553,1.21654128605298e-08,NA
"HALLMARK-PI3K-AKT-MTOR-SIGNALING",6038.22310185947,6148.51303682097,-0.101323162044225,1.81789199331438e-05,NA
"HALLMARK-PROTEIN-SECRETION",6476.77772708002,6576.70126341038,-0.0702189510538657,0.00297427487626805,NA
"HALLMARK-REACTIVE-OXYGEN-SPECIES-PATHWAY",5495.93519117139,5632.19505024332,-0.0942390380720552,6.70593389820433e-05,NA
"HALLMARK-SPERMATOGENESIS",4353.64826675083,4383.19569886094,-0.066312716028086,0.00502943915753197,NA
"HALLMARK-TGF-BETA-SIGNALING",6288.60817767619,6627.87321189315,-0.31761000261949,3.74262662246386e-41,"HALLMARK-TGF-BETA-SIGNALING"
"HALLMARK-TNFA-SIGNALING-VIA-NFKB",6100.79666088335,6565.6556404478,-0.56140660239332,1.13410074557492e-124,"HALLMARK-TNFA-SIGNALING-VIA-NFKB"
"HALLMARK-UNFOLDED-PROTEIN-RESPONSE",6064.25423472756,6257.9963046221,-0.189303535034085,1.16668656863009e-15,NA
"HALLMARK-UV-RESPONSE-DN",6792.2306546165,6717.8883250136,0.135285811946153,1.04751072663182e-08,NA
"HALLMARK-UV-RESPONSE-UP",5651.3762059653,5718.05307070448,-0.103172138845763,1.27487135320285e-05,NA
"HALLMARK-WNT-BETA-CATENIN-SIGNALING",5267.6022169522,5140.60436727928,0.164198595697647,3.7599261006255e-12,NA
"HALLMARK-XENOBIOTIC-METABOLISM",4605.99058135218,4631.73989561292,-0.0595978762961685,0.0116991880080293,NA
