"Pathway","Mean_Tfh","mean_non_tfh","Cliffs_Delta","P_Value"
"HALLMARK-ADIPOGENESIS",54.0951540855895,63.6704853973603,-0.106598140478685,0.015829520066893
"HALLMARK-ALLOGRAFT-REJECTION",220.747992054219,169.60736251602,0.467624702692813,3.4901000278049e-26
"HALLMARK-ANDROGEN-RESPONSE",390.836955063116,284.962632111284,0.549723067711192,1.51465290514401e-35
"HALLMARK-ANGIOGENESIS",-140.826800699699,-134.250576718065,-0.117999767144021,0.00756444130690477
"HALLMARK-APICAL-JUNCTION",177.523592200461,194.667870852592,-0.251218335745056,1.2965413894287e-08
"HALLMARK-APICAL-SURFACE",23.7932453246745,5.72913816000523,0.0515277015451657,0.243525602765704
"HALLMARK-APOPTOSIS",139.794670557879,136.948797266618,0.0189444971142491,0.668178540967777
"HALLMARK-BILE-ACID-METABOLISM",44.119999561094,75.0319270873788,-0.211840726510653,1.6255456080522e-06
"HALLMARK-CHOLESTEROL-HOMEOSTASIS",265.057599373646,249.547751002844,0.0264291535685179,0.549789259386857
"HALLMARK-COAGULATION",-40.0707300167045,-30.48740210781,-0.130798529680821,0.00307005564235645
"HALLMARK-COMPLEMENT",103.787748771517,89.2977186386112,0.138150125575903,0.00176570192350912
"HALLMARK-DNA-REPAIR",76.7056640596791,103.622253231503,-0.346439798413253,4.43383099520239e-15
"HALLMARK-E2F-TARGETS",270.263467408916,253.90571693363,-0.261239459108827,3.35171609328986e-09
"HALLMARK-EPITHELIAL-MESENCHYMAL-TRANSITION",48.7162048173723,68.5798490903937,-0.283269297939225,1.43583010936323e-10
"HALLMARK-ESTROGEN-RESPONSE-EARLY",70.77238105378,33.4021007503428,0.293897510104286,2.87905382264985e-11
"HALLMARK-ESTROGEN-RESPONSE-LATE",114.116340308129,60.25055984356,0.391031718310796,8.64218253711082e-19
"HALLMARK-FATTY-ACID-METABOLISM",-41.7230569855139,-56.2667651092818,0.0237513098148795,0.590950615368705
"HALLMARK-G2M-CHECKPOINT",179.330307654827,160.04974795744,0.0348202850822481,0.430683810695471
"HALLMARK-GLYCOLYSIS",112.181526316596,100.606262882991,0.125850340136054,0.00439085671771191
"HALLMARK-HEDGEHOG-SIGNALING",-276.680562780749,-263.510107374453,-0.403980173976681,5.98808409420492e-20
"HALLMARK-HEME-METABOLISM",158.902771782687,128.197415209061,0.229080385210319,2.15558739511006e-07
"HALLMARK-HYPOXIA",35.5108386554921,61.3025363015787,-0.250735991218003,1.38202175295651e-08
"HALLMARK-IL2-STAT5-SIGNALING",373.529461955083,365.199681805413,0.0875205828052492,0.0475943052960277
"HALLMARK-IL6-JAK-STAT3-SIGNALING",-43.2479637144008,-86.2423484703942,0.265389285298471,1.88637127276333e-09
"HALLMARK-INFLAMMATORY-RESPONSE",32.6470879154603,47.6019153525789,-0.215508208173245,1.07076191267396e-06
"HALLMARK-INTERFERON-ALPHA-RESPONSE",299.54888370017,316.766328999797,-0.182991534021922,3.44135907979822e-05
"HALLMARK-INTERFERON-GAMMA-RESPONSE",134.941107545516,131.888715499217,0.0367413469055104,0.405686769285925
"HALLMARK-KRAS-SIGNALING-DN",126.07756421367,123.401753560175,-0.001995908387805,0.964113555060929
"HALLMARK-KRAS-SIGNALING-UP",187.884436193549,216.289523129134,-0.349500191274554,2.5475786722408e-15
"HALLMARK-MITOTIC-SPINDLE",16.3058178990633,-7.22707205751374,0.190160171648121,1.67457122981919e-05
"HALLMARK-MTORC1-SIGNALING",41.8006202294451,2.67663931304636,0.275011226984681,4.8122282448487e-10
"HALLMARK-MYOGENESIS",-178.376391130073,-157.139061728557,-0.298371671406949,1.43915374588395e-11
"HALLMARK-NOTCH-SIGNALING",-11.9222409746667,93.066447223125,-0.443765281173594,9.65372466117443e-24
"HALLMARK-OXIDATIVE-PHOSPHORYLATION",83.2415347119545,1.0100191403003,-0.0689503185137136,0.118615847741099
"HALLMARK-P53-PATHWAY",49.9982040638647,23.3586459745032,0.213828318613509,1.29747523617705e-06
"HALLMARK-PEROXISOME",-247.230270167986,-260.41976517769,-0.00305207657635181,0.945069098448845
"HALLMARK-PI3K-AKT-MTOR-SIGNALING",185.664743659559,127.303782792474,0.266037955524508,1.72291041375187e-09
"HALLMARK-PROTEIN-SECRETION",412.3898472769,333.615226463414,0.438941835903065,2.90457156975496e-23
"HALLMARK-SPERMATOGENESIS",114.246861321831,144.808754862657,-0.297157493804368,1.73884651932485e-11
"HALLMARK-TGF-BETA-SIGNALING",-19.4050982408509,-48.6435357687562,0.104252948123014,0.0182879675333999
"HALLMARK-TNFA-SIGNALING-VIA-NFKB",67.9980278002577,61.2293285818303,0.0597940887846581,0.175946494718128
"HALLMARK-UNFOLDED-PROTEIN-RESPONSE",-202.077951824389,-288.39782383214,0.073316368112037,0.0970270840210609
"HALLMARK-UV-RESPONSE-DN",474.67619083424,477.92527604647,-0.0367413469055104,0.405686769285925
"HALLMARK-UV-RESPONSE-UP",127.247276371949,2.83425480748607,0.546463084011111,3.8061140749989e-35
"HALLMARK-WNT-BETA-CATENIN-SIGNALING",-54.1800541482565,-45.0874416081299,-0.0563760956705421,0.201966022171851
"HALLMARK-XENOBIOTIC-METABOLISM",50.753814569651,65.6268998398347,-0.150133892187682,0.000678008339748128
