"","pathwayName","fc","adj_pval","logQ","threshold"
"1","PID_A6B1_A6B4_INTEGRIN_PATHWAY",0.104802891791541,0.977577645438646,0.00984873813020723,"cond3"
"2","PID_AJDISS_2PATHWAY",-0.271741748417721,0.977577645438646,0.00984873813020723,"cond3"
"3","PID_ALK1_PATHWAY",0.785657395797348,0.845357055589778,0.0729598182459475,"cond3"
"4","PID_ALK2_PATHWAY",0.134943932333072,0.977727096091265,0.00978234889430234,"cond3"
"5","PID_ALPHA_SYNUCLEIN_PATHWAY",0.347226030100494,0.977577645438646,0.00984873813020723,"cond3"
"6","PID_AMB2_NEUTROPHILS_PATHWAY",0.23335295061483,0.977577645438646,0.00984873813020723,"cond3"
"7","PID_ANGIOPOIETIN_RECEPTOR_PATHWAY",0.714844040904979,0.77584721704273,0.110223793339843,"cond3"
"8","PID_ANTHRAX_PATHWAY",0.368542232866075,0.977577645438646,0.00984873813020723,"cond3"
"9","PID_AP1_PATHWAY",1.1688490461358,0.238534513333733,0.622448774418536,"cond3"
"10","PID_ARF6_DOWNSTREAM_PATHWAY",-0.156559160764069,0.977577645438646,0.00984873813020723,"cond3"
"11","PID_ARF6_PATHWAY",0.291477650774362,0.977577645438646,0.00984873813020723,"cond3"
"12","PID_ARF6_TRAFFICKING_PATHWAY",0.609235998918412,0.849383805738498,0.0708960234789094,"cond3"
"13","PID_ARF_3PATHWAY",0.106136714546794,0.977727096091265,0.00978234889430234,"cond3"
"14","PID_AR_NONGENOMIC_PATHWAY",0.121561979880913,0.977577645438646,0.00984873813020723,"cond3"
"15","PID_AR_PATHWAY",0.777934429527859,0.718606840857659,0.14350865279712,"cond3"
"16","PID_AR_TF_PATHWAY",0.775114321580929,0.650342828667537,0.186857644359777,"cond3"
"17","PID_ATF2_PATHWAY",1.63284863500128,0.125480910532566,0.901422338573001,"cond1"
"18","PID_ATM_PATHWAY",0.337284008037864,0.977577645438646,0.00984873813020723,"cond3"
"19","PID_ATR_PATHWAY",0.592040941202889,0.923287024095489,0.0346632679846247,"cond3"
"20","PID_AURORA_A_PATHWAY",0.237797114334771,0.977577645438646,0.00984873813020723,"cond3"
"21","PID_AURORA_B_PATHWAY",0.238359169741514,0.977577645438646,0.00984873813020723,"cond3"
"22","PID_AVB3_INTEGRIN_PATHWAY",0.411424901705626,0.923287024095489,0.0346632679846247,"cond3"
"23","PID_AVB3_OPN_PATHWAY",1.07873503777222,0.718606840857659,0.14350865279712,"cond3"
"24","PID_BARD1_PATHWAY",2.84603227820521,0.195904290926877,0.707956051471031,"cond1"
"25","PID_BCR_5PATHWAY",0.681107617953328,0.718606840857659,0.14350865279712,"cond3"
"26","PID_BETA_CATENIN_DEG_PATHWAY",-0.62952177319534,0.977577645438646,0.00984873813020723,"cond3"
"27","PID_BETA_CATENIN_NUC_PATHWAY",0.526690783083178,0.800281994985771,0.0967569538998543,"cond3"
"28","PID_BMP_PATHWAY",-0.365302495957899,0.977577645438646,0.00984873813020723,"cond3"
"29","PID_CASPASE_PATHWAY",-0.165279526875127,0.977577645438646,0.00984873813020723,"cond3"
"30","PID_CD40_PATHWAY",0.839610962556877,0.849383805738498,0.0708960234789094,"cond3"
"31","PID_CD8_TCR_DOWNSTREAM_PATHWAY",0.864753596286356,0.409934733525545,0.387285282611994,"cond3"
"32","PID_CD8_TCR_PATHWAY",0.0433602093239196,0.982840385049283,0.00751700660413607,"cond3"
"33","PID_CDC42_PATHWAY",-0.28039381167809,0.977577645438646,0.00984873813020723,"cond3"
"34","PID_CDC42_REG_PATHWAY",-0.474255301372209,0.977577645438646,0.00984873813020723,"cond3"
"35","PID_CERAMIDE_PATHWAY",0.0795233212005738,0.977577645438646,0.00984873813020723,"cond3"
"36","PID_CIRCADIAN_PATHWAY",0.345257531141467,0.977577645438646,0.00984873813020723,"cond3"
"37","PID_CMYB_PATHWAY",0.965734708342919,0.31832005388944,0.497136000338532,"cond3"
"38","PID_CONE_PATHWAY",-1.28266664812715,0.977577645438646,0.00984873813020723,"cond3"
"39","PID_CXCR3_PATHWAY",0.232129254971075,0.977577645438646,0.00984873813020723,"cond3"
"40","PID_CXCR4_PATHWAY",0.071986411328313,0.977577645438646,0.00984873813020723,"cond3"
"41","PID_DELTA_NP63_PATHWAY",0.402211589911674,0.977577645438646,0.00984873813020723,"cond3"
"42","PID_DNA_PK_PATHWAY",0.345087852924913,0.977577645438646,0.00984873813020723,"cond3"
"43","PID_E2F_PATHWAY",0.950125959315481,0.352480689326188,0.452864670867766,"cond3"
