"Pathway","Mean_non_Tfh","Mean_Tfh","P_value","Cliffs_delta"
"PID-A6B1-A6B4-INTEGRIN-PATHWAY",7559.11503691325,7479.32327142294,1.16797585679403e-07,0.0774589210254636
"PID-AJDISS-2PATHWAY",6481.11870043866,6816.95500080777,9.11947436487438e-61,-0.240411568218042
"PID-ALK1-PATHWAY",7050.70967316135,6976.88805411841,0.0032058723300753,0.0430868318871715
"PID-ALK2-PATHWAY",6221.14969302546,6449.20771113841,1.2575009819797e-17,-0.124958025656434
"PID-ALPHA-SYNUCLEIN-PATHWAY",6731.81126286352,6984.0519363174,6.62663685763777e-33,-0.174674534327133
"PID-AMB2-NEUTROPHILS-PATHWAY",6845.07209521124,6910.86260707428,1.5687570352681e-06,-0.0702053712653212
"PID-ANGIOPOIETIN-RECEPTOR-PATHWAY",7653.96684951835,7834.56299602051,9.63505108384411e-17,-0.121473807302534
"PID-ANTHRAX-PATHWAY",6016.87529943657,6174.20218385375,2.25717539083707e-06,-0.069133026861892
"PID-AP1-PATHWAY",8408.27915305845,8543.27282281126,2.00147799604135e-14,-0.11184464997218
"PID-ARF6-DOWNSTREAM-PATHWAY",7009.58378209719,7485.58553872032,3.79963697650737e-35,-0.180838997845412
"PID-ARF6-PATHWAY",6963.55964785211,7012.57481982031,0.00947899098359658,-0.0379262856397588
"PID-ARF6-TRAFFICKING-PATHWAY",7156.27168049566,7256.93763699344,4.51535068572333e-09,-0.0857286593222457
"PID-ARF-3PATHWAY",7110.10288786349,7849.85269510725,2.88108114050512e-122,-0.343766828797915
"PID-AR-NONGENOMIC-PATHWAY",6816.7648238931,6876.87810868731,0.00703809947626439,-0.0393992937133849
"PID-AR-PATHWAY",7040.34053607249,7287.12242319622,3.00339819966028e-32,-0.172828552762953
"PID-AR-TF-PATHWAY",7827.40896949476,8179.18876672612,5.3190005481832e-63,-0.244925934243624
"PID-ATF2-PATHWAY",7509.45818260956,7595.70750822495,1.30165574580664e-05,-0.0637371825146415
"PID-ATM-PATHWAY",5813.43115469457,6136.19079012863,2.40516221274849e-34,-0.178659183110505
"PID-ATR-PATHWAY",4319.32170429318,4584.05797047752,8.42820491330713e-41,-0.195536507266574
