"Pathway","Mean_Tfh","mean_non_tfh","Cliffs_Delta","P_Value"
"PID-A6B1-A6B4-INTEGRIN-PATHWAY",7479.32327142294,7559.11503691325,-0.0774589210254636,1.16797585679403e-07
"PID-AJDISS-2PATHWAY",6816.95500080777,6481.11870043866,0.240411568218042,9.11947436487438e-61
"PID-ALK1-PATHWAY",6976.88805411841,7050.70967316135,-0.0430868318871715,0.0032058723300753
"PID-ALK2-PATHWAY",6449.20771113841,6221.14969302546,0.124958025656434,1.2575009819797e-17
"PID-ALPHA-SYNUCLEIN-PATHWAY",6984.0519363174,6731.81126286352,0.174674534327133,6.62663685763777e-33
"PID-AMB2-NEUTROPHILS-PATHWAY",6910.86260707428,6845.07209521124,0.0702053712653212,1.5687570352681e-06
"PID-ANGIOPOIETIN-RECEPTOR-PATHWAY",7834.56299602051,7653.96684951835,0.121473807302534,9.63505108384411e-17
"PID-ANTHRAX-PATHWAY",6174.20218385375,6016.87529943657,0.069133026861892,2.25717539083707e-06
"PID-AP1-PATHWAY",8543.27282281126,8408.27915305845,0.11184464997218,2.00147799604135e-14
"PID-ARF6-DOWNSTREAM-PATHWAY",7485.58553872032,7009.58378209719,0.180838997845412,3.79963697650737e-35
"PID-ARF6-PATHWAY",7012.57481982031,6963.55964785211,0.0379262856397588,0.00947899098359658
"PID-ARF6-TRAFFICKING-PATHWAY",7256.93763699344,7156.27168049566,0.0857286593222457,4.51535068572333e-09
"PID-ARF-3PATHWAY",7849.85269510725,7110.10288786349,0.343766828797915,2.88108114050512e-122
"PID-AR-NONGENOMIC-PATHWAY",6876.87810868731,6816.7648238931,0.0393992937133849,0.00703809947626439
"PID-AR-PATHWAY",7287.12242319622,7040.34053607249,0.172828552762953,3.00339819966028e-32
"PID-AR-TF-PATHWAY",8179.18876672612,7827.40896949476,0.244925934243624,5.3190005481832e-63
"PID-ATF2-PATHWAY",7595.70750822495,7509.45818260956,0.0637371825146415,1.30165574580664e-05
"PID-ATM-PATHWAY",6136.19079012863,5813.43115469457,0.178659183110505,2.40516221274849e-34
"PID-ATR-PATHWAY",4584.05797047752,4319.32170429318,0.195536507266574,8.42820491330713e-41
"PID-AURORA-A-PATHWAY",2251.53591115376,1955.16802616371,0.149708210740423,1.30528481793711e-24
"PID-AURORA-B-PATHWAY",3953.71073736732,3769.80514995497,0.107807631623353,1.65101732940619e-13
"PID-AVB3-INTEGRIN-PATHWAY",7980.64603121525,7933.43452435082,0.0656268662074841,7.15290693112192e-06
"PID-AVB3-OPN-PATHWAY",8987.50411697604,8874.05632105763,0.0746370773147679,3.30069935916456e-07
"PID-BARD1-PATHWAY",6429.02490014567,6135.55289060171,0.165871155632541,7.75262608912962e-30
"PID-BCR-5PATHWAY",8214.64262633658,7889.29953824221,0.218442079329035,1.7524894905389e-50
"PID-BETA-CATENIN-DEG-PATHWAY",8345.40633599818,8111.64972013297,0.122396615612271,5.64939525701744e-17
"PID-BETA-CATENIN-NUC-PATHWAY",8172.59586709962,8214.41127873903,-0.0442567077635463,0.00246749753955794
"PID-BMP-PATHWAY",7325.61845560369,7353.86311943416,-0.0164199115839335,0.261364451095545
"PID-CASPASE-PATHWAY",7696.32931511127,7992.68153080492,-0.265128817042224,1.66666187838948e-73
"PID-CD40-PATHWAY",8093.82720716112,8178.09687400739,-0.0473273525282388,0.00120649131541885
"PID-CD8-TCR-DOWNSTREAM-PATHWAY",10026.7061841494,9833.9169548273,0.133907564706179,5.20379731749403e-20
"PID-CD8-TCR-PATHWAY",10044.1236397565,9865.80462637283,0.116734544101264,1.40502145250226e-15
"PID-CDC42-PATHWAY",8508.35274170618,8281.00605181648,0.183662392571113,3.36873778708017e-36
"PID-CDC42-REG-PATHWAY",6882.32571756228,6820.33103994901,0.035815992871535,0.0142885271400507
"PID-CERAMIDE-PATHWAY",7481.4543683175,7349.27419444118,0.0944150732382443,1.05890143410095e-10
"PID-CIRCADIAN-PATHWAY",6210.14901187167,6424.29458707006,-0.12984477213742,6.57871864273222e-19
"PID-CMYB-PATHWAY",7456.70813424065,7086.03478441075,0.29968214684563,2.18744310402323e-93
"PID-CONE-PATHWAY",4876.46608998223,5040.07717226584,-0.206550629759991,2.52664031294446e-45
"PID-CXCR3-PATHWAY",7686.25194084186,7413.39496359991,0.200190190934053,1.10794173133109e-42
"PID-CXCR4-PATHWAY",8399.08350555257,8335.46655923192,0.0678995593703226,3.40824101150413e-06
"PID-DELTA-NP63-PATHWAY",5749.75822778341,5596.63790165739,0.116858807773997,1.31142004427489e-15
"PID-DNA-PK-PATHWAY",7601.44463656785,7292.84998321915,0.135695291971504,1.66335638693115e-20
"PID-E2F-PATHWAY",5022.81648051467,4777.07031988726,0.197727179106514,1.11077193230364e-41
"PID-ECADHERIN-KERATINOCYTE-PATHWAY",7244.09986729693,7065.52781420618,0.127028995632479,3.65027843280143e-18
"PID-ECADHERIN-NASCENT-AJ-PATHWAY",8221.02885254149,7777.88043757069,0.269377320848757,8.08584715910519e-76
"PID-ECADHERIN-STABILIZATION-PATHWAY",7754.82821049822,7343.36352055058,0.321233409100416,5.17436636611623e-107
"PID-ENDOTHELIN-PATHWAY",7124.99277602743,7197.82493752447,-0.0719690577980723,8.52651567717487e-07
