"Pathway","Mean_Tfh","mean_non_tfh","Cliffs_Delta","P_Value"
"PID-A6B1-A6B4-INTEGRIN-PATHWAY",7044.32120604649,7137.00878635384,-0.0994109695328884,3.77186807911309e-11
"PID-AJDISS-2PATHWAY",6478.76570424464,6209.54655552116,0.220919080565534,6.89470061287493e-49
"PID-ALK1-PATHWAY",6596.59785570734,6672.29141061677,-0.0522422033224857,0.000510613170136045
"PID-ALK2-PATHWAY",6132.32962206403,5942.1530554205,0.11967501175648,1.71029121658032e-15
"PID-ALPHA-SYNUCLEIN-PATHWAY",6610.58895705877,6398.93490584971,0.165927818163587,2.52096681852441e-28
"PID-AMB2-NEUTROPHILS-PATHWAY",6431.64744512216,6366.49967891307,0.0739828701253506,8.596846322792e-07
"PID-ANGIOPOIETIN-RECEPTOR-PATHWAY",7381.41427836124,7261.73109488369,0.0936622252107185,4.65338280527936e-10
"PID-ANTHRAX-PATHWAY",5878.98554769568,5763.95022293662,0.0576242312710028,0.000126519744379324
"PID-AP1-PATHWAY",8012.44397879289,7898.53919050077,0.109091123576286,3.96669289579596e-13
"PID-ARF6-DOWNSTREAM-PATHWAY",7064.41815650196,6678.97864515125,0.164713938171373,6.17091274472772e-28
"PID-ARF6-PATHWAY",6637.76267156581,6599.60853743562,0.0335449767792769,0.0256550163263925
"PID-ARF6-TRAFFICKING-PATHWAY",6852.57906570103,6785.75980553427,0.0658619175314449,1.18079547986552e-05
"PID-ARF-3PATHWAY",7404.47978423213,6746.50532575216,0.344223828360222,4.90660390331727e-116
"PID-AR-NONGENOMIC-PATHWAY",6514.30928944613,6478.23315598042,0.0270370614645383,0.0720993036835241
"PID-AR-PATHWAY",7032.04305359646,6839.49201568707,0.149869083487897,2.07842681832928e-23
"PID-AR-TF-PATHWAY",7902.67671883788,7625.5674469966,0.219341433373603,3.22833912863912e-48
"PID-ATF2-PATHWAY",7163.51747843822,7113.62174463844,0.0420314124559166,0.00517540391547978
"PID-ATM-PATHWAY",5795.17660862873,5533.77726076398,0.163848060703651,1.1640097648394e-27
"PID-ATR-PATHWAY",4342.66965208765,4111.16587520304,0.19222533404757,1.9444633003982e-37
"PID-AURORA-A-PATHWAY",2198.40252619098,1936.8007401897,0.14780391103361,8.20954868883697e-23
"PID-AURORA-B-PATHWAY",3726.56718273375,3561.92136037373,0.106257342772835,1.56966587877664e-12
"PID-AVB3-INTEGRIN-PATHWAY",7492.26743945687,7472.05083926672,0.0308633733509426,0.0400710996291325
"PID-AVB3-OPN-PATHWAY",8424.71041278071,8344.50259989946,0.0594239244496707,7.72254438441224e-05
"PID-BARD1-PATHWAY",6069.82608720816,5827.40329097143,0.152509291238433,3.49310046181095e-24
"PID-BCR-5PATHWAY",7717.15198980205,7451.59588725799,0.203221248637348,1.22144666288314e-41
"PID-BETA-CATENIN-DEG-PATHWAY",7848.33962160594,7661.2870747304,0.108920446837386,4.31357576040152e-13
"PID-BETA-CATENIN-NUC-PATHWAY",7683.26122122554,7757.76049916873,-0.0848936340203836,1.63190409742682e-08
"PID-BMP-PATHWAY",6909.30537243805,6967.36742618956,-0.0463498610402863,0.00204808132768847
"PID-CASPASE-PATHWAY",7233.54242993598,7511.6772627499,-0.283752142842972,1.8287662547162e-79
"PID-CD40-PATHWAY",7608.75106853157,7719.64432795669,-0.0696590594065511,3.59207900401566e-06
"PID-CD8-TCR-DOWNSTREAM-PATHWAY",9428.00003651429,9280.54152229823,0.113504803668129,4.3429367530717e-14
"PID-CD8-TCR-PATHWAY",9381.01398608083,9238.47934793259,0.105470074195854,2.2860083764588e-12
"PID-CDC42-PATHWAY",7980.7323379374,7808.92837926605,0.158292031492888,6.31578639334179e-26
"PID-CDC42-REG-PATHWAY",6521.32911476076,6489.09064287164,0.0179546781673726,0.232347270794649
"PID-CERAMIDE-PATHWAY",7052.97275224321,6951.52726452733,0.0823260295700265,4.34336150488331e-08
"PID-CIRCADIAN-PATHWAY",5970.05083365293,6184.57409842703,-0.134880684465736,2.90640376842351e-19
"PID-CMYB-PATHWAY",7034.68833294961,6725.78751223886,0.289021941317873,2.25939312086894e-82
"PID-CONE-PATHWAY",4701.03414734202,4854.81012668052,-0.203957523315901,6.26994266279663e-42
"PID-CXCR3-PATHWAY",7243.35901073092,7014.95391703295,0.190914721150242,5.94596084479473e-37
"PID-CXCR4-PATHWAY",7937.35020698241,7894.99449857126,0.050764828044392,0.000733205546419879
"PID-DELTA-NP63-PATHWAY",5460.49674932202,5360.38256545788,0.0859909412100943,1.06475032576474e-08
"PID-DNA-PK-PATHWAY",7153.9448028599,6905.72493436309,0.122318919379773,4.06532202698026e-16
"PID-E2F-PATHWAY",4847.80194818923,4641.48049180516,0.186101133072626,3.37999384024912e-35
"PID-ECADHERIN-KERATINOCYTE-PATHWAY",6853.36256475908,6703.94555894028,0.119563801088406,1.81562496245326e-15
"PID-ECADHERIN-NASCENT-AJ-PATHWAY",7736.1781383754,7364.48918120919,0.256564190915579,2.63351705643056e-65
"PID-ECADHERIN-STABILIZATION-PATHWAY",7312.59796896131,6959.70517050328,0.310829956529176,5.66483880765847e-95
"PID-ENDOTHELIN-PATHWAY",6749.45690861976,6853.01126890125,-0.12053027219803,1.07813569717694e-15
"PID-EPHA2-FWD-PATHWAY",8426.25966253159,8067.98910059088,0.217691075638804,1.6041605123159e-47
"PID-EPHA-FWDPATHWAY",7491.02085532552,7534.89233173017,-0.0521255232772937,0.000525588378308389
"PID-EPHB-FWD-PATHWAY",7585.78916839453,7520.19936335178,0.0542519313067682,0.000307601917100872
"PID-EPHRINB-REV-PATHWAY",8034.91419500937,7758.02722192007,0.240450976954082,1.39136316725043e-57
"PID-EPO-PATHWAY",7223.59483786653,7032.46462041536,0.119979366506714,1.45182845836392e-15
"PID-ERA-GENOMIC-PATHWAY",5856.67515513541,5437.19457999226,0.274718233241051,1.32970835921919e-74
"PID-ERBB1-DOWNSTREAM-PATHWAY",8662.30452089064,8586.26252689429,0.068237772054593,5.64828531004066e-06
"PID-ERBB1-INTERNALIZATION-PATHWAY",8667.18483920938,8653.78656916706,0.012331300548171,0.412062526367075
"PID-ERBB1-RECEPTOR-PROXIMAL-PATHWAY",8312.79176125195,8177.65010209577,0.100353418280267,2.46450772496441e-11
"PID-ERBB2-ERBB3-PATHWAY",7693.3262831528,7579.68576406756,0.0871091607240812,6.85406602376009e-09
"PID-ERBB4-PATHWAY",7453.49672421065,7416.27508851106,0.0308342033396446,0.0402596569977519
"PID-ERBB-NETWORK-PATHWAY",7590.0350039323,7806.17716075249,-0.25435987107284,3.20922437181228e-64
"PID-ERB-GENOMIC-PATHWAY",6371.72868549721,5698.10269583015,0.234329886017108,8.84986110320769e-55
"PID-ER-NONGENOMIC-PATHWAY",6297.60130736819,6449.76108690132,-0.137886643405728,4.63639314542763e-20
"PID-FAK-PATHWAY",8107.57993567217,7955.93430229223,0.109915390880832,2.64131921606167e-13
"PID-FANCONI-PATHWAY",4817.20456450546,4605.16130987914,0.182351714193945,7.32880055623213e-34
"PID-FAS-PATHWAY",7411.44214802483,7454.74034389057,-0.0432567674158105,0.00400943241322227
"PID-FCER1-PATHWAY",8649.26956564164,8372.01548584368,0.233107533852495,3.14912844515758e-54
"PID-FGF-PATHWAY",6124.44091998557,5930.40174898858,0.221466232762749,4.02602351209529e-49
"PID-FOXM1-PATHWAY",2261.20821941662,2254.62403112481,0.00348442219516132,0.816709859917063
"PID-FOXO-PATHWAY",8188.27434349767,7987.16037925503,0.134862185101953,2.93906240506521e-19
"PID-FRA-PATHWAY",5747.56418112834,5584.28702285262,0.125266109326414,7.90551992423428e-17
"PID-GLYPICAN-1PATHWAY",6985.13961004169,7097.85267279022,-0.0961962626995451,1.56467538502672e-10
"PID-GMCSF-PATHWAY",7668.74997599246,7427.46500532936,0.142699802512589,2.25930845484996e-21
"PID-HDAC-CLASSIII-PATHWAY",6022.41405161746,5892.54925486507,0.0701721084287927,3.0441832307012e-06
"PID-HDAC-CLASSII-PATHWAY",8461.8910607206,8301.52921832986,0.105124323767822,2.69409540926161e-12
"PID-HDAC-CLASSI-PATHWAY",7343.49199014264,6993.98819630937,0.235670634109931,2.18272951864133e-55
"PID-HEDGEHOG-2PATHWAY",8170.54065326427,8355.84630359466,-0.209907508543221,2.62320526654248e-44
"PID-HEDGEHOG-GLI-PATHWAY",7585.68892493178,7462.44595202849,0.106764386204515,1.23036198063937e-12
"PID-HES-HEY-PATHWAY",7836.31894395222,7601.53913143674,0.20757615973584,2.28467318680698e-43
"PID-HIF1A-PATHWAY",7619.66457305752,7286.57345170078,0.173710312832285,6.95385625167844e-31
"PID-HIF1-TFPATHWAY",7774.25035853898,7784.36609126465,-0.0103707969579539,0.490283773939225
"PID-HIF2PATHWAY",7760.85741274528,7710.47071691521,0.0471415265674994,0.00171367781466116
"PID-HIV-NEF-PATHWAY",8257.72128173006,8249.89224148552,0.00967286154057339,0.519944360636749
"PID-HNF3A-PATHWAY",4532.11361478002,4298.73396978423,0.159217857623534,3.27709697233033e-26
