"Pathway","Mean_Tfh","mean_non_tfh","Cliffs_Delta","P_Value"
"PID-A6B1-A6B4-INTEGRIN-PATHWAY",6202.24153097483,6304.49713163639,-0.103918274927461,1.35852617913653e-08
"PID-AJDISS-2PATHWAY",5776.88212781717,5591.5546699013,0.14144812176514,1.08113334443106e-14
"PID-ALK1-PATHWAY",6040.79324799046,6737.53709217425,-0.38769075589419,1.31030047463964e-99
"PID-ALK2-PATHWAY",5424.95957974614,5300.67950740515,0.0706548580395781,0.000112980727547356
"PID-ALPHA-SYNUCLEIN-PATHWAY",6233.7309349405,6321.37742179362,-0.0734331779339516,6.00290341768349e-05
"PID-AMB2-NEUTROPHILS-PATHWAY",5780.61985432097,5867.93350115905,-0.0964378956759674,1.36591000331913e-07
"PID-ANGIOPOIETIN-RECEPTOR-PATHWAY",6727.09498029754,6616.26341911446,0.0828004548468875,6.05196624661905e-06
"PID-ANTHRAX-PATHWAY",4857.58489024286,5219.127975044,-0.15016046098055,2.29802940530724e-16
"PID-AP1-PATHWAY",7316.14771449166,7426.22161690683,-0.0916146068780656,5.55123351236073e-07
"PID-ARF6-DOWNSTREAM-PATHWAY",6395.57521867309,6191.77052546405,0.0796106518609093,1.35975672000794e-05
"PID-ARF6-PATHWAY",5947.55317404169,6043.69741792651,-0.11178499523048,1.0062995804142e-09
"PID-ARF6-TRAFFICKING-PATHWAY",6418.36442508709,6580.04278245471,-0.141482972117726,1.06507987505786e-14
"PID-ARF-3PATHWAY",6736.47907999667,6502.00198146985,0.111803913993313,9.99803228724567e-10
"PID-AR-NONGENOMIC-PATHWAY",5835.97138583184,6377.69187949627,-0.359986219174863,3.80596724229514e-86
"PID-AR-PATHWAY",6367.59119268822,6383.19008433535,-0.0231077752132344,0.20669831701322
"PID-AR-TF-PATHWAY",7441.75331535125,7239.24528930496,0.150272728902094,2.18358461410468e-16
"PID-ATF2-PATHWAY",6534.60625827078,6486.76293851987,0.0330396278380634,0.0710095664182602
"PID-ATM-PATHWAY",5182.18489652955,5245.70511600988,-0.03884619444107,0.0337779518962702
"PID-ATR-PATHWAY",3792.68572527614,3830.9489721745,-0.0339228353450285,0.0637851553875202
"PID-AURORA-A-PATHWAY",1706.70049228818,1871.25986115275,-0.103393528189952,1.60577326173029e-08
"PID-AURORA-B-PATHWAY",3275.41187806407,3532.5948718485,-0.181380651482534,3.71333914006605e-23
"PID-AVB3-INTEGRIN-PATHWAY",6839.84467151105,6755.65496917267,0.119363951193575,6.91196412916503e-11
"PID-AVB3-OPN-PATHWAY",7637.66386694851,7613.89338619776,0.0120074400524149,0.51174339305067
"PID-BARD1-PATHWAY",5466.47069524071,5465.46850428076,0.00841287511425937,0.645729619760574
"PID-BCR-5PATHWAY",7064.71692839698,7048.03437854916,0.00433737531041707,0.812657124926068
"PID-BETA-CATENIN-DEG-PATHWAY",7183.98342337247,6976.83312768055,0.110613525521411,1.49973005865823e-09
"PID-BETA-CATENIN-NUC-PATHWAY",7231.17388744547,7346.6681153378,-0.132600612967916,4.29690253219407e-13
