"Pathway","Mean_Tfh","mean_non_tfh","Cliffs_Delta","P_Value"
"PID-A6B1-A6B4-INTEGRIN-PATHWAY",5562.27819268883,5651.34054578664,-0.10115449242584,1.87715004919016e-05
"PID-AJDISS-2PATHWAY",5196.93303036623,5006.18920927954,0.168049885317438,1.17021285082083e-12
"PID-ALK1-PATHWAY",5410.48742453486,5785.92926290492,-0.245581686568404,2.79419653645276e-25
"PID-ALK2-PATHWAY",4858.9842208047,4707.340874387,0.101763364192207,1.67151666493194e-05
"PID-ALPHA-SYNUCLEIN-PATHWAY",5591.34272768918,5561.5644447785,0.0178636459471374,0.449863110672816
"PID-AMB2-NEUTROPHILS-PATHWAY",5127.10210038665,5126.07990965316,0.00740612960726812,0.754077031697676
"PID-ANGIOPOIETIN-RECEPTOR-PATHWAY",6055.31090698883,5906.96935103321,0.124220062739987,1.4822863907677e-07
"PID-ANTHRAX-PATHWAY",4343.88383610053,4500.91089739512,-0.0711619675566545,0.00261010533061465
"PID-AP1-PATHWAY",6707.47968044494,6646.06602086028,0.0655268689424287,0.00557302984822226
"PID-ARF6-DOWNSTREAM-PATHWAY",5737.78356701964,5485.44421007747,0.116077920252493,9.0929582993136e-07
"PID-ARF6-PATHWAY",5321.60735373779,5403.3396005554,-0.0968406391556297,4.19374018702699e-05
"PID-ARF6-TRAFFICKING-PATHWAY",5756.81516819305,5914.56839647993,-0.147196187044384,4.76406577127113e-10
"PID-ARF-3PATHWAY",6056.69231810865,5645.08589384007,0.232790907174209,7.02530452234567e-23
"PID-AR-NONGENOMIC-PATHWAY",5234.03624215112,5621.98578321105,-0.295869511049777,6.11237593434193e-36
"PID-AR-PATHWAY",5863.01412961731,5896.50467144269,-0.0326350155572167,0.167431619979149
"PID-AR-TF-PATHWAY",6898.43447042154,6690.93740433529,0.173872820552137,1.9069316096851e-13
"PID-ATF2-PATHWAY",5930.29126497329,5799.27455296185,0.120408384924514,3.51505208826869e-07
"PID-ATM-PATHWAY",4619.55263190243,4467.79337827832,0.10892990627336,4.06677731349051e-06
"PID-ATR-PATHWAY",3350.6224497961,3260.26483274332,0.0788441019940071,0.00085223819663467
"PID-AURORA-A-PATHWAY",1457.04114460368,1429.08810468905,0.011153917415777,0.637064234799513
"PID-AURORA-B-PATHWAY",2874.26148411194,2873.03569723418,-0.0113417540362512,0.631402797232996
"PID-AVB3-INTEGRIN-PATHWAY",6094.04724757458,6031.06591427075,0.0924756738798485,9.15762331568896e-05
"PID-AVB3-OPN-PATHWAY",6986.77590301149,7063.20728400951,-0.0602993885726333,0.0107486589868718
"PID-BARD1-PATHWAY",4891.28639148543,4725.94785001576,0.117422165999016,6.79332458512746e-07
"PID-BCR-5PATHWAY",6347.11363408294,6243.32758919901,0.0897130699787246,0.000147627390721392
"PID-BETA-CATENIN-DEG-PATHWAY",6460.04846323327,6220.91783354363,0.148922495032552,2.98199488202688e-10
"PID-BETA-CATENIN-NUC-PATHWAY",6495.85558706242,6563.14646430735,-0.0798931759083562,0.000725849097418479
"PID-BMP-PATHWAY",5537.9816185497,5751.07591258063,-0.187646228253439,2.05785102228687e-15
"PID-CASPASE-PATHWAY",5889.7657874352,6254.37796828382,-0.397561957334253,1.8108012130389e-63
"PID-CD40-PATHWAY",6125.00401676594,6487.94605569994,-0.244013825797507,5.58814709085011e-25
"PID-CD8-TCR-DOWNSTREAM-PATHWAY",7941.73124091737,8053.87538596601,-0.0889387230943208,0.000168377809942576
"PID-CD8-TCR-PATHWAY",7904.29389107303,8098.68790808132,-0.154903877484523,5.64919340559704e-11
"PID-CDC42-PATHWAY",6604.24332366492,6604.67267391098,-0.00174930839067462,0.941032310398691
"PID-CDC42-REG-PATHWAY",5230.81874150843,5404.39005510749,-0.147566749084776,4.3101502697563e-10
"PID-CERAMIDE-PATHWAY",5725.86752033949,5919.33800805223,-0.139795168637673,3.34696965873645e-09
"PID-CIRCADIAN-PATHWAY",4749.64894657654,5228.78179166421,-0.28895852899648,2.32741156207444e-34
"PID-CMYB-PATHWAY",5724.32849808171,5552.91433552151,0.165923625885675,2.23628304212101e-12
"PID-CONE-PATHWAY",4260.88070014247,4348.63285166613,-0.112998421916828,1.75254181473369e-06
"PID-CXCR3-PATHWAY",5856.9152203684,5731.47674995012,0.10624908158115,6.97219636064729e-06
"PID-CXCR4-PATHWAY",6556.45909970375,6796.66616390402,-0.289688791776078,1.59071373936271e-34
"PID-DELTA-NP63-PATHWAY",4274.61856781948,4268.2769337279,0.0132571764450322,0.574947668516441
"PID-DNA-PK-PATHWAY",5816.39658966623,5749.41275749477,0.0374689334841137,0.112968901660626
"PID-E2F-PATHWAY",3879.56653016094,3662.97946631966,0.21670468122081,4.86172989439096e-20
"PID-ECADHERIN-KERATINOCYTE-PATHWAY",5545.49952497318,5448.64723193296,0.0857736121493237,0.000285205771984604
"PID-ECADHERIN-NASCENT-AJ-PATHWAY",6369.65697800512,6329.79703879432,0.0237428043879657,0.315212740176405
"PID-ECADHERIN-STABILIZATION-PATHWAY",5974.00860863602,5603.10297282122,0.346076834122375,1.56618957808553e-48
"PID-ENDOTHELIN-PATHWAY",5589.55179425145,5758.53909876913,-0.199357266529942,3.36309992942132e-17
"PID-EPHA2-FWD-PATHWAY",6998.05646358029,6522.20767035701,0.313094256927274,4.85328578482003e-40
"PID-EPHA-FWDPATHWAY",6321.72377173858,6405.88263096731,-0.103836594918189,1.1206380859687e-05
